DRAFT,,,,,,,
CMS,,,,,,,
NADAC Reference File as of 02/07/2013,,,,,,,
NDC Description,NDC,"NADAC
Per Unit",Pharmacy Type Indicator,OTC,Date,Explanation Code,Update
ACCUPRIL 10 MG TABLET,00071053023,2.0944,C/I,N,41291.0,4.0,N
ACCUPRIL 10 MG TABLET,00071053040,2.0944,C/I,N,41291.0,4.0,N
ACCUPRIL 20 MG TABLET,00071053223,2.10699,C/I,N,41291.0,4.0,N
ACCUPRIL 20 MG TABLET,00071053240,2.10699,C/I,N,41291.0,4.0,N
ACCUPRIL 40 MG TABLET,00071053523,2.1064,C/I,N,41291.0,2.0,N
ACEBUTOLOL 200 MG CAPSULE,00378120001,0.18158,C/I,N,41291.0,1.0,N
ACEBUTOLOL 200 MG CAPSULE,65162066910,0.18158,C/I,N,41291.0,1.0,N
ACEBUTOLOL 400 MG CAPSULE,00378140001,0.23742,C/I,N,41291.0,1.0,N
ACEBUTOLOL 400 MG CAPSULE,65162067010,0.23742,C/I,N,41291.0,1.0,N
ACEPHEN 120 MG SUPPOSITORY,00713011801,0.39754,C/I,Y,41291.0,1.0,N
ACEPHEN 120 MG SUPPOSITORY,00713011812,0.39754,C/I,Y,41291.0,1.0,N
ACEPHEN 120 MG SUPPOSITORY,00713011850,0.39754,C/I,Y,41291.0,1.0,N
ACEPHEN 325 MG SUPPOSITORY,00713016401,0.52042,C/I,Y,41291.0,1.0,N
ACEPHEN 325 MG SUPPOSITORY,00713016412,0.52042,C/I,Y,41291.0,1.0,N
ACEPHEN 325 MG SUPPOSITORY,00713016450,0.52042,C/I,Y,41291.0,1.0,N
ACEPHEN 650 MG SUPPOSITORY,00713016501,0.43157,C/I,Y,41291.0,1.0,N
ACEPHEN 650 MG SUPPOSITORY,00713016505,0.43157,C/I,Y,41291.0,1.0,N
ACEPHEN 650 MG SUPPOSITORY,00713016512,0.43157,C/I,Y,41291.0,1.0,N
ACEPHEN 650 MG SUPPOSITORY,00713016550,0.43157,C/I,Y,41291.0,1.0,N
ACETA-GESIC 325-12.5 MG TABLET,00536360501,0.01982,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 120 MG SUPPOS,45802073230,0.39754,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 120 MG SUPPOS,45802073233,0.39754,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 325 MG SUPPOS,00536132012,0.52042,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 325 MG TABLET,11383013917,0.01123,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 325 MG TABLET,63739044001,0.01123,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 325 MG TABLET,63739044004,0.01123,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 325 MG TABLET,51645070301,0.01123,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 325 MG TABLET,51645070310,0.01123,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 325 MG TABLET,51645070399,0.01123,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 500 MG CAPLET,11383013811,0.02302,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 500 MG CAPLET,11383013826,0.02302,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 500 MG CAPLET,11383013851,0.02302,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 500 MG CAPLET,63739043901,0.02302,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 500 MG CAPLET,51645070501,0.02302,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 500 MG CAPLET,51645070510,0.02302,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 500 MG TABLET,11383001111,0.02302,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 500 MG TABLET,11383001126,0.02302,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 500 MG TABLET,51645070601,0.02302,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 500 MG TABLET,51645070610,0.02302,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 500 MG/5 ML LIQ,60258005008,0.02014,C/I,Y,41291.0,"1, 5",N
ACETAMINOPHEN 650 MG SUPPOS,00536126012,0.43157,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 650 MG SUPPOS,45802073030,0.43157,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 650 MG SUPPOS,45802073032,0.43157,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 650 MG SUPPOS,45802073033,0.43157,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 80 MG TAB CHEW,00536323307,0.03789,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN 80 MG/0.8 ML DRP,00472141799,0.08972,C/I,Y,41291.0,"1, 5",N
ACETAMINOPHEN PM CAPLET,51645070905,0.04271,C/I,Y,41291.0,1.0,N
ACETAMINOPHEN-BUTALBITAL 325-50 TAB,00603254021,0.26226,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,64376061101,1.21552,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,64376061131,1.21552,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #2 TABLET,00093005001,0.1238,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #2 TABLET,00603233721,0.1238,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #2 TABLET,00406048301,0.1238,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00093015001,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00093015010,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,63739000410,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00406048401,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00406048403,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00406048410,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00406048420,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00406048450,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00406048462,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00603233802,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00603233804,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00603233816,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00603233820,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00603233821,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00603233822,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,00603233832,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,65162003311,0.11771,C/I,N,41291.0,"1, 6",N
ACETAMINOPHEN-COD #3 TABLET,68084037201,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,51079016101,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,51079016120,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,51079016121,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #3 TABLET,51079016199,0.11771,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #4 TABLET,00093035001,0.21906,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #4 TABLET,00093035005,0.21906,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #4 TABLET,00093035010,0.21906,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #4 TABLET,00603233921,0.21906,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #4 TABLET,00603233928,0.21906,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #4 TABLET,00406048501,0.21906,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #4 TABLET,00406048505,0.21906,C/I,N,41291.0,1.0,N
ACETAMINOPHEN-COD #4 TABLET,68084037301,0.21906,C/I,N,41291.0,1.0,N
ACETASOL HC EAR DROPS,00472088282,9.97483,C/I,N,41291.0,"1, 5",N
ACETAZOLAMIDE 125 MG TABLET,51672402201,0.42723,C/I,N,41291.0,1.0,N
ACETAZOLAMIDE 250 MG TABLET,00527105001,0.57656,C/I,N,41291.0,1.0,N
ACETAZOLAMIDE 250 MG TABLET,68084054101,0.57656,C/I,N,41291.0,1.0,N
ACETAZOLAMIDE 250 MG TABLET,51672402301,0.57656,C/I,N,41291.0,1.0,N
ACETAZOLAMIDE ER 500 MG CAP,23155012001,2.50824,C/I,N,41291.0,1.0,N
ACETAZOLAMIDE ER 500 MG CAP,00555051302,2.50824,C/I,N,41291.0,"1, 6",N
ACETAZOLAMIDE ER 500 MG CAP,68382026101,2.50824,C/I,N,41291.0,1.0,N
ACETAZOLAMIDE ER 500 MG CAP,68084040121,2.50824,C/I,N,41291.0,1.0,N
ACETIC ACID 2% EAR SOLUTION,00603703841,1.56527,C/I,N,41291.0,"1, 5",N
ACETIC ACID 2% EAR SOLUTION,60432074115,1.56527,C/I,N,41291.0,"1, 5",N
ACETIC ACID 2% EAR SOLUTION,50383088915,1.56527,C/I,N,41291.0,"1, 5, 6",N
ACETIC ACID-ALUMINUM DROPS,24208061577,0.94417,C/I,N,41291.0,"1, 5",N
ACETYLCYSTEINE 10% VIAL,00054302502,0.22513,C/I,N,41291.0,"4, 5",N
ACETYLCYSTEINE 10% VIAL,00054302702,0.46662,C/I,N,41291.0,"4, 5",N
ACETYLCYSTEINE 10% VIAL,00517751003,0.46662,C/I,N,41291.0,"4, 5",N
ACETYLCYSTEINE 10% VIAL,00409330703,0.22513,C/I,N,41291.0,"4, 5",N
ACETYLCYSTEINE 20% VIAL,00054302802,0.43275,C/I,N,41291.0,"4, 5",N
ACETYLCYSTEINE 20% VIAL,00054302602,0.20661,C/I,N,41291.0,"1, 5",N
ACETYLCYSTEINE 20% VIAL,63323069030,0.20661,C/I,N,41291.0,"1, 5, 6",N
ACETYLCYSTEINE 20% VIAL,00409330803,0.20661,C/I,N,41291.0,"1, 5",N
ACETYLCYSTEINE 20% VIAL,00517760425,0.35837,C/I,N,41291.0,"4, 5",N
ACETYLCYSTEINE 20% VIAL,00517761003,0.35837,C/I,N,41291.0,"4, 5",N
ACETYLCYSTEINE 20% VIAL,00517763003,0.20661,C/I,N,41291.0,"1, 5",N
ACID CONTROL 150 MG TABLET,24385026862,0.02213,C/I,Y,41291.0,1.0,N
ACID CONTROL 150 MG TABLET,24385026871,0.02213,C/I,Y,41291.0,1.0,N
ACID CONTROL 150 MG TABLET,46122004162,0.02213,C/I,Y,41291.0,1.0,N
ACID CONTROL 150 MG TABLET,37205084462,0.02213,C/I,Y,41291.0,1.0,N
ACID CONTROL 75 MG TABLET,24385029665,0.07795,C/I,Y,41291.0,1.0,N
ACID CONTROL 75 MG TABLET,24385029672,0.07795,C/I,Y,41291.0,1.0,N
ACID CONTROLLER 20 MG TABLET,63868048625,0.03616,C/I,Y,41291.0,1.0,N
ACID GONE ANTACID LIQUID,00904772714,0.01083,C/I,Y,41291.0,"1, 5",N
ACID GONE TABLET CHEW,00904536560,0.02743,C/I,Y,41291.0,1.0,N
ACID REDUCER 10 MG TABLET,24385025565,0.10056,C/I,Y,41291.0,1.0,N
ACID REDUCER 10 MG TABLET,24385025572,0.10056,C/I,Y,41291.0,1.0,N
ACID REDUCER 10 MG TABLET,00113014165,0.10056,C/I,Y,41291.0,1.0,N
ACID REDUCER 10 MG TABLET,37205061465,0.10056,C/I,Y,41291.0,1.0,N
ACID REDUCER 10 MG TABLET,36800014165,0.10056,C/I,Y,41291.0,1.0,N
ACID REDUCER 10 MG TABLET,36800014172,0.10056,C/I,Y,41291.0,1.0,N
ACID REDUCER 150 MG TABLET,00113004771,0.02213,C/I,Y,41291.0,1.0,N
ACID REDUCER 20 MG TABLET,24385038551,0.03616,C/I,Y,41291.0,1.0,N
ACID REDUCER 20 MG TABLET,24385038563,0.03616,C/I,Y,41291.0,1.0,N
ACID REDUCER 20 MG TABLET,24385038571,0.03616,C/I,Y,41291.0,1.0,N
ACID REDUCER 20 MG TABLET,24385038578,0.03616,C/I,Y,41291.0,1.0,N
ACID REDUCER 20 MG TABLET,00113019402,0.03616,C/I,Y,41291.0,1.0,N
ACID REDUCER 20 MG TABLET,36800019402,0.03616,C/I,Y,41291.0,1.0,N
ACID REDUCER 20 MG TABLET,36800019451,0.03616,C/I,Y,41291.0,1.0,N
ACID REDUCER 20 MG TABLET,36800019471,0.03616,C/I,Y,41291.0,1.0,N
ACID REDUCER 20 MG TABLET,37205086163,0.03616,C/I,Y,41291.0,1.0,N
ACID REDUCER 75 MG TABLET,00113027139,0.07795,C/I,Y,41291.0,1.0,N
ACID REDUCER 75 MG TABLET,00113027172,0.07795,C/I,Y,41291.0,1.0,N
ACID REDUCER 75 MG TABLET,68016045308,0.07795,C/I,Y,41291.0,"1, 6",N
ACIDOPHILUS CAPLET,00536718001,0.02338,C/I,Y,41291.0,1.0,N
ACIDOPHILUS X-STR CAPTAB,00536718101,0.03069,C/I,Y,41291.0,4.0,N
ACIPHEX DR 20 MG TABLET,62856024330,9.42898,C/I,N,41282.0,3.0,N
ACIPHEX DR 20 MG TABLET,62856024390,9.42898,C/I,N,41282.0,3.0,N
ACIPHEX EC 20 MG TABLET,62856024341,9.42898,C/I,N,41282.0,3.0,N
ACNE TREATMENT 10% CREAM,46122004403,0.07405,C/I,Y,41291.0,"1, 5",N
ACTIVELLA 0.5-0.1 MG TABLET,00169517510,3.59325,C/I,N,41291.0,2.0,N
ACTIVELLA 0.5-0.1 MG TABLET,00169517511,3.59325,C/I,N,41291.0,2.0,N
ACTIVELLA 1 MG-0.5 MG TABLET,00169517401,3.97626,C/I,N,41291.0,4.0,N
ACTIVELLA 1 MG-0.5 MG TABLET,00169517402,3.97626,C/I,N,41291.0,4.0,N
ACTONEL 150 MG TABLET,00149047801,138.83641,C/I,N,41291.0,1.0,N
ACTONEL 150 MG TABLET,00149047803,138.83641,C/I,N,41291.0,1.0,N
ACTONEL 150 MG TABLET,00430047801,138.83641,C/I,N,41291.0,1.0,N
ACTONEL 150 MG TABLET,00430047802,138.83641,C/I,N,41291.0,1.0,N
ACTONEL 35 MG TABLET,00149047201,32.05952,C/I,N,41291.0,1.0,N
ACTONEL 35 MG TABLET,00149047204,32.05952,C/I,N,41291.0,1.0,N
ACTONEL 35 MG TABLET,00430047203,32.05952,C/I,N,41291.0,1.0,N
ACTONEL 35 MG TABLET,00430047207,32.05952,C/I,N,41291.0,1.0,N
ACTONEL 5 MG TABLET,00149047101,4.58409,C/I,N,41291.0,2.0,N
ACTONEL 5 MG TABLET,00430047115,4.58409,C/I,N,41291.0,2.0,N
ACTOPLUS MET 15 MG-500 MG TAB,64764015518,5.26568,C/I,N,41282.0,3.0,N
ACTOPLUS MET 15 MG-500 MG TAB,64764015560,5.26568,C/I,N,41282.0,3.0,N
ACTOPLUS MET 15 MG-850 MG TAB,64764015818,5.24581,C/I,N,41282.0,3.0,N
ACTOPLUS MET 15 MG-850 MG TAB,64764015860,5.24581,C/I,N,41282.0,3.0,N
"ACTOPLUS MET XR 15-1,000 MG TB",64764051030,5.70705,C/I,N,41282.0,3.0,N
"ACTOPLUS MET XR 30-1,000 MG TB",64764031030,11.28511,C/I,N,41282.0,3.0,N
ACTOS 15 MG TABLET,64764015104,6.92636,C/I,N,41282.0,3.0,N
ACTOS 15 MG TABLET,64764015105,6.92636,C/I,N,41282.0,3.0,N
ACTOS 15 MG TABLET,64764015106,6.92636,C/I,N,41282.0,3.0,N
ACTOS 30 MG TABLET,64764030114,10.5681,C/I,N,41282.0,3.0,N
ACTOS 30 MG TABLET,64764030115,10.5681,C/I,N,41282.0,3.0,N
ACTOS 30 MG TABLET,64764030116,10.5681,C/I,N,41282.0,3.0,N
ACTOS 45 MG TABLET,64764045124,11.47304,C/I,N,41282.0,3.0,N
ACTOS 45 MG TABLET,64764045125,11.47304,C/I,N,41282.0,3.0,N
ACTOS 45 MG TABLET,64764045126,11.47304,C/I,N,41282.0,3.0,N
ACULAR 0.5% EYE DROPS,00023218105,29.81838,C/I,N,41279.0,"3, 5",N
ACUVAIL 0.45% OPHTH SOLUTION,00023350730,5.56752,C/I,N,41279.0,"3, 5",N
ACYCLOVIR 200 MG CAPSULE,23155014601,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG CAPSULE,00093894001,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG CAPSULE,00093894005,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG CAPSULE,00093894093,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG CAPSULE,63304065201,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG CAPSULE,63304065205,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG CAPSULE,60505004206,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG CAPSULE,61442011101,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG CAPSULE,00378220001,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG CAPSULE,00378220005,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG CAPSULE,67253010010,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG CAPSULE,67253010011,0.10203,C/I,N,41291.0,1.0,N
ACYCLOVIR 200 MG/5 ML SUSP,00472008216,0.15638,C/I,N,41291.0,"1, 5",N
ACYCLOVIR 200 MG/5 ML SUSP,50383081016,0.15638,C/I,N,41291.0,"1, 5",N
ACYCLOVIR 400 MG TABLET,00904612161,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,00093894301,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,00093894305,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,00093894393,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,61442011201,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,61442011205,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,60505530601,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,60505530608,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,63304050401,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,00378025301,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,00378025305,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,67253010110,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 400 MG TABLET,67253010111,0.12979,C/I,N,41291.0,1.0,N
ACYCLOVIR 800 MG TABLET,00093894701,0.24407,C/I,N,41291.0,1.0,N
ACYCLOVIR 800 MG TABLET,00093894705,0.24407,C/I,N,41291.0,1.0,N
ACYCLOVIR 800 MG TABLET,00093894793,0.24407,C/I,N,41291.0,1.0,N
ACYCLOVIR 800 MG TABLET,63304050501,0.24407,C/I,N,41291.0,1.0,N
ACYCLOVIR 800 MG TABLET,60505530701,0.24407,C/I,N,41291.0,1.0,N
ACYCLOVIR 800 MG TABLET,60505530705,0.24407,C/I,N,41291.0,1.0,N
ACYCLOVIR 800 MG TABLET,61442011301,0.24407,C/I,N,41291.0,1.0,N
ACYCLOVIR 800 MG TABLET,61442011305,0.24407,C/I,N,41291.0,1.0,N
ACYCLOVIR 800 MG TABLET,00378030201,0.24407,C/I,N,41291.0,1.0,N
ACZONE 5% GEL,00023367030,5.83398,C/I,N,41279.0,"3, 5",N
ACZONE 5% GEL,00023367060,5.50699,C/I,N,41279.0,"3, 5",N
ADAPALENE 0.1% CREAM,00168042446,3.91782,C/I,N,41291.0,"1, 5",N
ADAPALENE 0.1% CREAM,45802045384,3.91782,C/I,N,41291.0,"1, 5, 6",N
ADAPALENE 0.1% GEL,00093630195,2.39469,C/I,N,41291.0,"1, 5",N
ADAPALENE 0.1% GEL,68462040355,2.39469,C/I,N,41291.0,"1, 5",N
ADAPALENE 0.1% GEL,51672415506,2.39469,C/I,N,41291.0,"1, 5, 6",N
ADCIRCA 20 MG TABLET,66302046760,25.77136,C/I,N,41291.0,2.0,N
ADDERALL 10 MG TABLET,00555076402,4.18879,C/I,N,41282.0,3.0,N
ADDERALL 20 MG TABLET,00555076702,4.27445,C/I,N,41282.0,3.0,N
ADDERALL 30 MG TABLET,00555076802,4.15202,C/I,N,41282.0,3.0,N
ADDERALL XR 10 MG CAPSULE,54092038301,6.99674,C/I,N,41291.0,2.0,N
ADDERALL XR 15 MG CAPSULE,54092038501,6.96998,C/I,N,41291.0,2.0,N
ADDERALL XR 20 MG CAPSULE,54092038701,6.91889,C/I,N,41291.0,2.0,N
ADDERALL XR 25 MG CAPSULE,54092038901,6.96412,C/I,N,41291.0,1.0,N
ADDERALL XR 30 MG CAPSULE,54092039101,7.02745,C/I,N,41291.0,2.0,N
ADDERALL XR 5 MG CAPSULE,54092038101,6.95404,C/I,N,41291.0,1.0,N
ADIPEX-P 37.5 MG TABLET,57844000901,2.0329,C/I,N,41291.0,"2, 6",N
ADT ROBITUSSIN LINGER COLD SYR,00031874012,0.03626,C/I,Y,41291.0,"2, 5, 6",N
ADT ROBITUSSIN NGT M-S COLD LQ,00031873512,0.03622,C/I,Y,41291.0,"2, 5, 6",N
ADT ROBITUSSIN NGT NASL RLF TB,00031873220,0.19474,C/I,Y,41291.0,"1, 6",N
ADT ROBITUSSIN PEAK CLD DM MAX,00031873818,0.03069,C/I,Y,41291.0,"2, 5, 6",N
