DRAFT,,,,,,,
CMS,,,,,,,
NADAC Reference File as of 11/22/2012,,,,,,,
NDC Description,NDC,"NADAC
Per Unit",Pharmacy Type Indicator,OTC,Date,Explanation Code,Update
ACETAMINOPHEN 100 MG/ML DROP,24385031305,0.12821,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 100 MG/ML DROP,54838014515,0.12821,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 100 MG/ML DROP,54838014530,0.06778,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 100 MG/ML DROPS SUSP,00904525530,0.1264,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 120 MG SUPP,00472120106,0.50543,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 120 MG SUPP,00536125512,0.50543,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 120 MG SUPP,00713011801,0.50543,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 120 MG SUPP,00713011811,0.50543,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 120 MG SUPP,00713011812,0.50543,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 120 MG SUPP,00713011850,0.50543,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 120 MG SUPP,00713011866,0.50543,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 120 MG SUPP,45802073230,0.50543,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 120 MG SUPP,45802073233,0.50543,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 160 MG RAPID TAB,00904575424,0.07154,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 160 MG RAPID TAB,63868015824,0.07154,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 160 MG/5 ML LIQ,00067643104,0.0186,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML LIQ,00067643204,0.0186,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML LIQ,00603083954,0.0105,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML LIQ,00603083958,0.00754,C/I,Y,41235.0,"4, 5",N
ACETAMINOPHEN 160 MG/5 ML LIQ,00603083994,0.0105,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML LIQ,00603084094,0.0105,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML LIQ,00904198516,0.00618,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML LIQ,54838014440,0.0186,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML LIQ,54838014470,0.00761,C/I,Y,41235.0,"1, 5",N
ACETAMINOPHEN 160 MG/5 ML LIQ,54838014480,0.00618,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,00113010526,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,00113013026,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,00113017526,0.01886,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,00603084154,0.01886,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,00603084254,0.01886,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,00603084354,0.01886,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,00904511620,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,00904624403,0.05588,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,15127050961,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,24385010526,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,24385013026,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,24385014626,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,36800010526,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,36800013026,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,36800017526,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,37205050826,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,37205051826,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,37205057516,0.05588,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,37205057616,0.05588,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,37205071726,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,46122001926,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,46122004203,0.115,C/I,Y,41235.0,"4, 5",N
ACETAMINOPHEN 160 MG/5 ML SUSP,46122004246,0.05588,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,46122005046,0.05588,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,46122005603,0.115,C/I,Y,41235.0,"4, 5",N
ACETAMINOPHEN 160 MG/5 ML SUSP,49348026634,0.01886,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,49348079734,0.01886,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,49348088834,0.01886,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,62011000101,0.05588,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,62011000201,0.05588,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,62011002201,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,62011002901,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,63162051012,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,63868017526,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,63868017626,0.01997,C/I,Y,41235.0,"1, 5",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,68016014102,0.05588,C/I,Y,41235.0,"1, 5, 6",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,68016016002,0.05588,C/I,Y,41235.0,"1, 5, 6",Y
ACETAMINOPHEN 160 MG/5 ML SUSP,68016017802,0.05588,C/I,Y,41235.0,"1, 5, 6",Y
ACETAMINOPHEN 325 MG SUPP,00472120206,0.53483,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG SUPP,00472120212,0.53483,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG SUPP,00472120250,0.53483,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG SUPP,00536132012,0.53483,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG SUPP,00713016401,0.53483,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG SUPP,00713016411,0.53483,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG SUPP,00713016412,0.53483,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG SUPP,00713016450,0.53483,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG SUPP,00713016466,0.53483,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00113040378,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00536322201,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00536322210,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00603026321,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00603026329,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00603026332,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00904198202,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00904198251,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00904198259,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00904198260,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00904198261,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,00904198280,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,11383013917,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,15127007208,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,15127007224,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,16103035307,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,16103035308,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,16103035311,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,24385040378,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,36800040378,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,49348097310,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,51645070301,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,51645070310,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,51645070399,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,62011003201,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,62107005201,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,62107005210,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,63739044001,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,63739044004,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,63868031410,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,65162035005,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 325 MG TAB,65162035010,0.01194,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG CAP,00904198759,0.0398,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG CAP,00904198760,0.0398,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG CAP,00904198780,0.0398,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG CAP,37205098071,0.0398,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG CAP,68016002914,0.0398,C/I,Y,41235.0,"1, 6",Y
ACETAMINOPHEN 500 MG CAP,68016002920,0.0398,C/I,Y,41235.0,"1, 6",Y
ACETAMINOPHEN 500 MG CAP,68016002947,0.0398,C/I,Y,41235.0,"1, 6",Y
ACETAMINOPHEN 500 MG TAB,00113022771,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00113040572,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00113048462,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00113048471,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00113048478,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00113048490,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00536321801,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00536321810,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00536323101,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00536323110,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00603026521,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00603026532,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00603026821,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00603026829,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00603026832,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904198324,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904198340,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904198351,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904198359,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904198380,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904198394,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904198859,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904198860,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904198861,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904198880,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904581651,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,00904581660,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,11383001111,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,11383001126,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,11383013811,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,11383013826,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,11383013851,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,15127072013,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,15127073006,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,15127073021,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,15127073508,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,15127073509,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,15127073516,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,16103035004,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,16103035008,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,16103035011,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,16103037606,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,16103037608,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,16103037611,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,24385008778,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,24385014571,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,24385040572,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,24385040578,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,24385048447,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,24385048452,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,24385048471,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,24385048478,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,24385048490,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800001071,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800001078,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800004662,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800004671,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800004678,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800004683,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800022771,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800022778,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800040572,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800040578,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800048462,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800048471,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800048478,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,36800048490,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,37205002078,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,37205003578,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,37205059490,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,37205098078,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,46122000362,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,46122000371,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,46122000376,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,46122000378,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,49348004209,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,49348004210,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,49348004214,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,49348073009,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,49348073010,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,49348089210,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,49348099810,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,51645070501,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,51645070510,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,51645070601,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,51645070610,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,62011002301,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,62011002303,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,62011002701,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,62011003401,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,62011004901,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,62107005001,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,62107005010,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,62107005101,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,62107005110,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,63739043901,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,63868008801,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,63868008803,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,63868008824,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,63868008850,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,63868031510,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,63868031560,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,63868050350,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,63868050701,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,63868098750,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG TAB,65162060710,0.02199,C/I,Y,41235.0,1.0,Y
ACETAMINOPHEN 500 MG/5 ML LIQ,60258005008,0.01944,C/I,Y,41235.0,"1, 5",Y
