,,,,,,,,,,
CMS,,,,,,,,,,
Weekly NADAC Reference File as of 03/12/2014,,,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting","Corresponding
Generic Drug
NADAC
Per Unit","Corresponding
Generic Drug
Effective
Date"
ABACAVIR 300 MG TABLET,51079020401,5.06545,02/19/2014,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,51079020406,5.06545,02/19/2014,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,60505358306,5.06545,02/19/2014,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,65862007360,5.06545,02/19/2014,EA,C/I,N,1,G,,
ABACAVIR 300 MG TABLET,68084002121,5.06545,02/19/2014,EA,C/I,N,1,G,,
ABILIFY 1 MG/ML SOLUTION,59148001315,5.48943,01/01/2014,ML,C/I,N,"2, 5",B,,
ABILIFY 10 MG TABLET,59148000813,25.34765,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 10 MG TABLET,59148000835,25.34765,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 15 MG TABLET,59148000913,25.27327,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 15 MG TABLET,59148000935,25.27327,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 2 MG TABLET,59148000613,25.33511,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 20 MG TABLET,59148001013,35.61354,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 20 MG TABLET,59148001035,35.61354,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 30 MG TABLET,59148001113,35.66860,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 30 MG TABLET,59148001135,35.66860,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 5 MG TABLET,59148000713,25.51749,01/01/2014,EA,C/I,N,2,B,,
ABILIFY 5 MG TABLET,59148000735,25.51749,01/01/2014,EA,C/I,N,2,B,,
ABILIFY DISCMELT 10 MG TABLET,59148064023,30.47533,02/19/2014,EA,C/I,N,3,B,,
ABILIFY MAINTENA ER 300 MG VL,59148001871,1076.94133,01/01/2014,EA,C/I,N,4,B,,
ABILIFY MAINTENA ER 400 MG VL,59148001971,1456.06522,01/01/2014,EA,C/I,N,2,B,,
ABREVA 10% CREAM,00135020001,6.88855,01/22/2014,GM,C/I,Y,"2, 5",B,,
ABREVA 10% CREAM,00135020003,6.88855,01/22/2014,GM,C/I,Y,"2, 5",B,,
ABSORBASE OINTMENT,46287050716,0.01549,12/18/2013,GM,C/I,Y,"4, 5",G,,
ABSORICA 20 MG CAPSULE,10631011631,23.11890,12/27/2013,EA,C/I,N,4,B,,
ABSORICA 30 MG CAPSULE,10631011731,24.69281,12/27/2013,EA,C/I,N,4,B,,
ABSORICA 40 MG CAPSULE,10631011831,24.81363,12/27/2013,EA,C/I,N,4,B,,
ACAMPROSATE CALC DR 333 MG TAB,00258400060,0.77738,02/19/2014,EA,C/I,N,"1, 6",G,,
ACAMPROSATE CALC DR 333 MG TAB,68462043518,0.77738,02/19/2014,EA,C/I,N,1,G,,
ACANYA GEL PUMP,13548013250,7.13373,01/07/2014,GM,C/I,N,"2, 5",B,,
ACARBOSE 100 MG TABLET,00054014225,0.41261,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,00115115201,0.41261,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,00115115202,0.41261,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,00378282210,0.41261,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,00378282277,0.41261,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,16252052501,0.41261,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,23155014901,0.41261,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,47781034201,0.41261,02/19/2014,EA,C/I,N,"1, 6",G,,
ACARBOSE 100 MG TABLET,51862021201,0.41261,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,00054014025,0.34643,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,00115115001,0.34643,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,00115115002,0.34643,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,00378282010,0.34643,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,00378282077,0.34643,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,16252052301,0.34643,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,23155014701,0.34643,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,47781034001,0.34643,02/19/2014,EA,C/I,N,"1, 6",G,,
ACARBOSE 25 MG TABLET,51862021001,0.34643,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00054014120,0.37566,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00054014125,0.37566,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00115115101,0.37566,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00115115102,0.37566,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00378282110,0.37566,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00378282177,0.37566,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,16252052401,0.37566,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,23155014801,0.37566,02/19/2014,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,47781034101,0.37566,02/19/2014,EA,C/I,N,"1, 6",G,,
ACARBOSE 50 MG TABLET,51862021101,0.37566,02/19/2014,EA,C/I,N,1,G,,
ACCOLATE 20 MG TABLET,00310040260,1.85569,07/18/2013,EA,C/I,N,2,B,1.04983,02/19/2014
ACCUPRIL 10 MG TABLET,00071053023,2.39782,01/01/2014,EA,C/I,N,4,B,0.16003,02/19/2014
ACCUPRIL 10 MG TABLET,00071053040,2.39782,01/01/2014,EA,C/I,N,4,B,0.16003,02/19/2014
ACCUPRIL 20 MG TABLET,00071053223,2.41223,01/01/2014,EA,C/I,N,4,B,0.16338,02/19/2014
ACCUPRIL 20 MG TABLET,00071053240,2.41223,01/01/2014,EA,C/I,N,4,B,0.16338,02/19/2014
ACCUPRIL 40 MG TABLET,00071053523,2.41154,01/01/2014,EA,C/I,N,4,B,0.16155,02/19/2014
ACEBUTOLOL 200 MG CAPSULE,00378120001,0.17699,02/19/2014,EA,C/I,N,1,G,,
ACEBUTOLOL 200 MG CAPSULE,65162066910,0.17699,02/19/2014,EA,C/I,N,1,G,,
ACEBUTOLOL 400 MG CAPSULE,00378140001,0.24338,02/19/2014,EA,C/I,N,1,G,,
ACEBUTOLOL 400 MG CAPSULE,65162067010,0.24338,02/19/2014,EA,C/I,N,1,G,,
ACEPHEN 120 MG SUPPOSITORY,00713011801,0.52578,02/19/2014,EA,C/I,Y,1,G,,
ACEPHEN 120 MG SUPPOSITORY,00713011812,0.52578,02/19/2014,EA,C/I,Y,1,G,,
ACEPHEN 120 MG SUPPOSITORY,00713011850,0.52578,02/19/2014,EA,C/I,Y,1,G,,
ACEPHEN 325 MG SUPPOSITORY,00713016401,0.50808,02/19/2014,EA,C/I,Y,1,G,,
ACEPHEN 325 MG SUPPOSITORY,00713016412,0.50808,02/19/2014,EA,C/I,Y,1,G,,
ACEPHEN 325 MG SUPPOSITORY,00713016450,0.50808,02/19/2014,EA,C/I,Y,1,G,,
ACEPHEN 650 MG SUPPOSITORY,00713016501,0.42177,02/19/2014,EA,C/I,Y,1,G,,
ACEPHEN 650 MG SUPPOSITORY,00713016512,0.42177,02/19/2014,EA,C/I,Y,1,G,,
ACEPHEN 650 MG SUPPOSITORY,00713016550,0.42177,02/19/2014,EA,C/I,Y,1,G,,
ACETA-GESIC 325-12.5 MG TABLET,00536360501,0.01964,10/24/2013,EA,C/I,Y,4,G,,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,0.52578,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,0.52578,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG SUPPOS,00536132012,0.50808,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG TABLET,51645070301,0.01118,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG TABLET,51645070310,0.01118,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG TABLET,51645070399,0.01118,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG TABLET,63739044001,0.01118,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,10267119001,0.02164,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,10267119004,0.02164,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,10267119005,0.02164,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,10267119006,0.02164,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,51645070501,0.02164,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,51645070510,0.02164,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,63739043901,0.02164,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG TABLET,51645070601,0.02164,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG TABLET,51645070610,0.02164,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG/5 ML LIQ,60258005008,0.02064,05/23/2013,ML,C/I,Y,"4, 5",G,,
ACETAMINOPHEN 650 MG SUPPOS,00536126012,0.42177,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 650 MG SUPPOS,45802073030,0.42177,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 650 MG SUPPOS,45802073032,0.42177,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN 650 MG SUPPOS,45802073033,0.42177,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN PM CAPLET,51645070905,0.04507,02/19/2014,EA,C/I,Y,1,G,,
ACETAMINOPHEN-BUTALBITAL 325-50 TAB,00603254021,0.25665,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,64376061101,1.12669,08/22/2013,EA,C/I,N,4,G,,
ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,64376061131,1.12669,08/22/2013,EA,C/I,N,4,G,,
ACETAMINOPHEN-COD #2 TABLET,00093005001,0.13342,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #2 TABLET,00406048301,0.13342,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #2 TABLET,00603233721,0.13342,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00093015001,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00093015010,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048401,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048403,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048410,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048420,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048450,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048462,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233802,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233804,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233816,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233820,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233821,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233822,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233832,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,51079016101,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,51079016120,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,51079016121,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,51079016199,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,63739000410,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,65162003310,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,65162003311,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,68084037201,0.10505,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00093035001,0.19097,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00093035005,0.19097,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00093035010,0.19097,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00406048501,0.19097,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00406048505,0.19097,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00603233921,0.19097,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00603233928,0.19097,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,68084037301,0.19097,02/19/2014,EA,C/I,N,1,G,,
ACETAMINOPHEN-CODEINE SOLUTION,00121050416,0.01263,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETAMINOPHEN-CODEINE SOLUTION,00603102058,0.01263,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETAMINOPHEN-CODEINE SOLUTION,00603901358,0.01263,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETAMINOPHEN-CODEINE SOLUTION,50383007916,0.01263,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETAMINOPHEN-CODEINE SOLUTION,60432024516,0.01263,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETASOL HC EAR DROPS,00472088282,9.09221,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETAZOLAMIDE 125 MG TABLET,51672402201,1.78736,02/19/2014,EA,C/I,N,1,G,,
ACETAZOLAMIDE 250 MG TABLET,00527105001,2.02585,02/19/2014,EA,C/I,N,1,G,,
ACETAZOLAMIDE 250 MG TABLET,51672402301,2.02585,02/19/2014,EA,C/I,N,1,G,,
ACETAZOLAMIDE 250 MG TABLET,68084054101,2.02585,02/19/2014,EA,C/I,N,1,G,,
ACETAZOLAMIDE ER 500 MG CAP,00555051302,2.51790,02/19/2014,EA,C/I,N,"1, 6",G,,
ACETAZOLAMIDE ER 500 MG CAP,23155012001,2.51790,02/19/2014,EA,C/I,N,1,G,,
ACETAZOLAMIDE ER 500 MG CAP,68084040121,2.51790,02/19/2014,EA,C/I,N,1,G,,
ACETAZOLAMIDE ER 500 MG CAP,68382026101,2.51790,02/19/2014,EA,C/I,N,1,G,,
ACETIC ACID 0.25% IRRIG SOLN,00338065604,0.00450,02/19/2014,ML,C/I,N,"1, 5, 6",G,,
ACETIC ACID 0.25% IRRIG SOLN,00409614309,0.00450,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETIC ACID 2% EAR SOLUTION,00603703841,1.49045,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETIC ACID 2% EAR SOLUTION,50383088915,1.49045,02/19/2014,ML,C/I,N,"1, 5, 6",G,,
ACETIC ACID 2% EAR SOLUTION,60432074115,1.49045,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETIC ACID-ALUMINUM DROPS,24208061577,0.95285,01/22/2014,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 10% VIAL,00054302502,0.23013,01/22/2014,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 10% VIAL,00409330703,0.23013,01/22/2014,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 20% VIAL,00054302602,0.23026,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETYLCYSTEINE 20% VIAL,00409330803,0.23026,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETYLCYSTEINE 20% VIAL,00517763003,0.23026,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETYLCYSTEINE 20% VIAL,63323069030,0.23026,02/19/2014,ML,C/I,N,"1, 5",G,,
ACETYLCYSTEINE 20% VIAL,00054302802,0.46339,03/21/2013,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 20% VIAL,00517761003,0.46339,03/21/2013,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 6 GRAM/30 ML VL,00574080530,6.13755,07/18/2013,ML,C/I,N,"4, 5, 6",G,,
ACETYLCYSTEINE 6 GRAM/30 ML VL,63323096330,6.13755,07/18/2013,ML,C/I,N,"4, 5",G,,
ACID CONTROL 150 MG TABLET,24385026862,0.11489,02/19/2014,EA,C/I,Y,1,G,,
ACID CONTROL 150 MG TABLET,24385026871,0.11489,02/19/2014,EA,C/I,Y,1,G,,
ACID CONTROL 150 MG TABLET,37205084462,0.11489,02/19/2014,EA,C/I,Y,1,G,,
ACID CONTROL 150 MG TABLET,46122004162,0.11489,02/19/2014,EA,C/I,Y,1,G,,
ACID CONTROL 150 MG TABLET,46122004171,0.11489,02/19/2014,EA,C/I,Y,1,G,,
ACID CONTROL 75 MG TABLET,24385029665,0.06497,02/19/2014,EA,C/I,Y,1,G,,
ACID CONTROL 75 MG TABLET,24385029672,0.06497,02/19/2014,EA,C/I,Y,1,G,,
ACID CONTROLLER 20 MG TABLET,63868048625,0.16232,02/19/2014,EA,C/I,Y,1,G,,
ACID GONE ANTACID LIQUID,00904772714,0.01035,01/22/2014,ML,C/I,Y,"4, 5",G,,
ACID GONE TABLET CHEW,00904536560,0.02962,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,00113014165,0.10357,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,24385025565,0.10357,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,24385025572,0.10357,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,36800014165,0.10357,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,36800014172,0.10357,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,37205061465,0.10357,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 150 MG TABLET,00113004771,0.11489,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,00113019402,0.16232,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,24385038551,0.16232,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,24385038563,0.16232,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,24385038571,0.16232,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,24385038578,0.16232,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,36800019402,0.16232,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,36800019451,0.16232,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,36800019471,0.16232,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,37205086163,0.16232,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 75 MG TABLET,00113027139,0.06497,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 75 MG TABLET,00113027172,0.06497,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 75 MG TABLET,51660035230,0.06497,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 75 MG TABLET,51660035260,0.06497,02/19/2014,EA,C/I,Y,1,G,,
ACID REDUCER 75 MG TABLET,68016045308,0.06497,02/19/2014,EA,C/I,Y,"1, 6",G,,
ACIPHEX DR 20 MG TABLET,62856024330,11.00438,02/19/2014,EA,C/I,N,1,B,0.95271,02/19/2014
ACIPHEX DR 20 MG TABLET,62856024390,11.00438,02/19/2014,EA,C/I,N,1,B,0.95271,02/19/2014
ACITRETIN 10 MG CAPSULE,00093113556,20.05137,02/19/2014,EA,C/I,N,1,G,,
ACITRETIN 10 MG CAPSULE,66993089430,20.05137,02/19/2014,EA,C/I,N,"1, 6",G,,
ACITRETIN 25 MG CAPSULE,00093113656,25.42448,02/19/2014,EA,C/I,N,1,G,,
ACITRETIN 25 MG CAPSULE,66993089630,25.42448,02/19/2014,EA,C/I,N,"1, 6",G,,
ACNE TREATMENT 10% CREAM,46122004403,0.05743,04/18/2013,GM,C/I,Y,"4, 5",G,,
ACTIVELLA 0.5-0.1 MG TABLET,00169517510,4.77037,02/25/2014,EA,C/I,N,3,B,3.31045,02/19/2014
ACTIVELLA 0.5-0.1 MG TABLET,00169517511,4.77037,02/25/2014,EA,C/I,N,3,B,3.31045,02/19/2014
ACTIVELLA 1 MG-0.5 MG TABLET,00169517401,5.27722,02/25/2014,EA,C/I,N,3,B,3.23881,02/19/2014
ACTIVELLA 1 MG-0.5 MG TABLET,00169517402,5.27722,02/25/2014,EA,C/I,N,3,B,3.23881,02/19/2014
ACTONEL 150 MG TABLET,00149047801,181.19487,02/19/2014,EA,C/I,N,1,B,,
ACTONEL 150 MG TABLET,00149047803,181.19487,02/19/2014,EA,C/I,N,1,B,,
ACTONEL 150 MG TABLET,00430047801,181.19487,02/19/2014,EA,C/I,N,1,B,,
ACTONEL 150 MG TABLET,00430047802,181.19487,02/19/2014,EA,C/I,N,1,B,,
ACTONEL 35 MG TABLET,00149047201,41.94858,02/19/2014,EA,C/I,N,1,B,,
ACTONEL 35 MG TABLET,00149047204,41.94858,02/19/2014,EA,C/I,N,1,B,,
ACTONEL 35 MG TABLET,00430047203,41.94858,02/19/2014,EA,C/I,N,1,B,,
ACTONEL 35 MG TABLET,00430047207,41.94858,02/19/2014,EA,C/I,N,1,B,,
ACTONEL 5 MG TABLET,00430047115,5.95172,02/19/2014,EA,C/I,N,1,B,,
ACTOPLUS MET 15 MG-500 MG TAB,64764015518,6.34401,01/08/2014,EA,C/I,N,2,B,2.19786,02/19/2014
ACTOPLUS MET 15 MG-500 MG TAB,64764015560,6.34401,01/08/2014,EA,C/I,N,2,B,2.19786,02/19/2014
ACTOPLUS MET 15 MG-850 MG TAB,64764015818,6.34987,01/08/2014,EA,C/I,N,2,B,2.53459,02/19/2014
ACTOPLUS MET 15 MG-850 MG TAB,64764015860,6.34987,01/08/2014,EA,C/I,N,2,B,2.53459,02/19/2014
"ACTOPLUS MET XR 15-1,000 MG TB",64764051030,6.88874,01/08/2014,EA,C/I,N,2,B,,
"ACTOPLUS MET XR 30-1,000 MG TB",64764031030,13.63017,01/08/2014,EA,C/I,N,4,B,,
ACTOS 15 MG TABLET,64764015104,8.35017,02/19/2014,EA,C/I,N,3,B,0.18839,02/19/2014
ACTOS 15 MG TABLET,64764015105,8.35017,02/19/2014,EA,C/I,N,3,B,0.18839,02/19/2014
ACTOS 30 MG TABLET,64764030114,12.57606,01/08/2014,EA,C/I,N,2,B,0.24046,02/19/2014
ACTOS 30 MG TABLET,64764030115,12.57606,01/08/2014,EA,C/I,N,2,B,0.24046,02/19/2014
ACTOS 30 MG TABLET,64764030116,12.57606,01/08/2014,EA,C/I,N,2,B,0.24046,02/19/2014
ACTOS 45 MG TABLET,64764045124,13.53085,02/19/2014,EA,C/I,N,3,B,0.29185,02/19/2014
ACTOS 45 MG TABLET,64764045125,13.53085,02/19/2014,EA,C/I,N,3,B,0.29185,02/19/2014
ACTOS 45 MG TABLET,64764045126,13.53085,02/19/2014,EA,C/I,N,3,B,0.29185,02/19/2014
ACULAR 0.5% EYE DROPS,00023218105,33.81970,01/01/2014,ML,C/I,N,"4, 5",B,1.82428,02/19/2014
ACUVAIL 0.45% OPHTH SOLUTION,00023350730,6.29987,01/01/2014,EA,C/I,N,"4, 5",B,,
ACYCLOVIR 200 MG CAPSULE,00093894001,0.12430,02/19/2014,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,00093894005,0.12430,02/19/2014,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,00093894093,0.12430,02/19/2014,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,00904578961,0.12430,02/19/2014,EA,C/I,N,1,G,,
