DRAFT,,,,,,,,
CMS,,,,,,,,
NADAC Reference File as of 03/21/2013,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting"
ACARBOSE 25 MG TABLET,00115115002,0.39179,41354.0,EA,C/I,N,1,G
ACARBOSE 25 MG TABLET,23155014701,0.39179,41354.0,EA,C/I,N,1,G
ACARBOSE 25 MG TABLET,16252052301,0.39179,41354.0,EA,C/I,N,1,G
ACARBOSE 50 MG TABLET,00378282110,0.41389,41354.0,EA,C/I,N,1,G
ACARBOSE 50 MG TABLET,00378282177,0.41389,41354.0,EA,C/I,N,1,G
ACARBOSE 50 MG TABLET,00115115101,0.41389,41354.0,EA,C/I,N,1,G
ACARBOSE 50 MG TABLET,00115115102,0.41389,41354.0,EA,C/I,N,1,G
ACARBOSE 50 MG TABLET,00054014120,0.41389,41354.0,EA,C/I,N,1,G
ACARBOSE 50 MG TABLET,00054014125,0.41389,41354.0,EA,C/I,N,1,G
ACARBOSE 50 MG TABLET,16252052401,0.41389,41354.0,EA,C/I,N,1,G
ACARBOSE 50 MG TABLET,23155014801,0.41389,41354.0,EA,C/I,N,1,G
ACCOLATE 20 MG TABLET,00310040260,1.86623,41326.0,EA,C/I,N,2,B
ACCUNEB 0.63 MG/3 ML INH SOLN,49502069203,0.57771,41326.0,ML,C/I,N,"4, 5",B
ACCUNEB 1.25 MG/3 ML INH SOLN,49502069303,0.59111,41326.0,ML,C/I,N,"4, 5",B
ACCUPRIL 10 MG TABLET,00071053023,2.0944,41326.0,EA,C/I,N,4,B
ACCUPRIL 10 MG TABLET,00071053040,2.0944,41326.0,EA,C/I,N,4,B
ACCUPRIL 20 MG TABLET,00071053223,2.10699,41326.0,EA,C/I,N,4,B
ACCUPRIL 20 MG TABLET,00071053240,2.10699,41326.0,EA,C/I,N,4,B
ACCUPRIL 40 MG TABLET,00071053523,2.1064,41326.0,EA,C/I,N,4,B
ACEBUTOLOL 200 MG CAPSULE,00378120001,0.17364,41354.0,EA,C/I,N,1,G
ACEBUTOLOL 200 MG CAPSULE,65162066910,0.17364,41354.0,EA,C/I,N,1,G
ACEBUTOLOL 400 MG CAPSULE,00378140001,0.22432,41354.0,EA,C/I,N,1,G
ACEBUTOLOL 400 MG CAPSULE,65162067010,0.22432,41354.0,EA,C/I,N,1,G
ACEPHEN 120 MG SUPPOSITORY,00713011801,0.35495,41354.0,EA,C/I,Y,1,G
ACEPHEN 120 MG SUPPOSITORY,00713011812,0.35495,41354.0,EA,C/I,Y,1,G
ACEPHEN 120 MG SUPPOSITORY,00713011850,0.35495,41354.0,EA,C/I,Y,1,G
ACEPHEN 325 MG SUPPOSITORY,00713016401,0.51063,41354.0,EA,C/I,Y,1,G
ACEPHEN 325 MG SUPPOSITORY,00713016412,0.51063,41354.0,EA,C/I,Y,1,G
ACEPHEN 325 MG SUPPOSITORY,00713016450,0.51063,41354.0,EA,C/I,Y,1,G
ACEPHEN 650 MG SUPPOSITORY,00713016501,0.44367,41354.0,EA,C/I,Y,1,G
ACEPHEN 650 MG SUPPOSITORY,00713016505,0.44367,41354.0,EA,C/I,Y,1,G
ACEPHEN 650 MG SUPPOSITORY,00713016512,0.44367,41354.0,EA,C/I,Y,1,G
ACEPHEN 650 MG SUPPOSITORY,00713016550,0.44367,41354.0,EA,C/I,Y,1,G
ACETA-GESIC 325-12.5 MG TABLET,00536360501,0.01982,41326.0,EA,C/I,Y,4,G
ACETAMINOPHEN 120 MG SUPPOS,45802073230,0.35495,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 120 MG SUPPOS,45802073233,0.35495,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 325 MG SUPPOS,00536132012,0.51063,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 325 MG TABLET,11383013917,0.01285,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 325 MG TABLET,63739044001,0.01285,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 325 MG TABLET,63739044004,0.01285,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 325 MG TABLET,51645070301,0.01285,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 325 MG TABLET,51645070310,0.01285,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 325 MG TABLET,51645070399,0.01285,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 500 MG CAPLET,11383013811,0.02275,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 500 MG CAPLET,11383013826,0.02275,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 500 MG CAPLET,11383013851,0.02275,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 500 MG CAPLET,63739043901,0.02275,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 500 MG CAPLET,51645070501,0.02275,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 500 MG CAPLET,51645070510,0.02275,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 500 MG TABLET,11383001111,0.02275,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 500 MG TABLET,11383001126,0.02275,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 500 MG TABLET,51645070601,0.02275,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 500 MG TABLET,51645070610,0.02275,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 500 MG/5 ML LIQ,60258005008,0.01941,41354.0,ML,C/I,Y,"1, 5",G
ACETAMINOPHEN 650 MG SUPPOS,00536126012,0.44367,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 650 MG SUPPOS,45802073030,0.44367,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 650 MG SUPPOS,45802073032,0.44367,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 650 MG SUPPOS,45802073033,0.44367,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 80 MG TAB CHEW,00536323307,0.04198,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN 80 MG/0.8 ML DRP,00472141799,0.08972,41326.0,ML,C/I,Y,"4, 5",G
ACETAMINOPHEN PM CAPLET,51645070905,0.04141,41354.0,EA,C/I,Y,1,G
ACETAMINOPHEN-BUTALBITAL 325-50 TAB,00603254021,0.26423,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,64376061101,1.21953,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,64376061131,1.21953,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #2 TABLET,00406048301,0.132,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #2 TABLET,00093005001,0.132,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #2 TABLET,00603233721,0.132,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00406048401,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00406048403,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00406048410,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00406048420,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00406048450,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00406048462,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00093015001,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00093015010,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00603233802,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00603233804,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00603233816,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00603233820,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00603233821,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00603233822,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,00603233832,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,63739000410,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,65162003310,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,65162003311,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,51079016101,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,51079016120,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,51079016121,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,51079016199,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #3 TABLET,68084037201,0.11358,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #4 TABLET,00406048501,0.20973,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #4 TABLET,00406048505,0.20973,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #4 TABLET,00093035001,0.20973,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #4 TABLET,00093035005,0.20973,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #4 TABLET,00093035010,0.20973,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #4 TABLET,00603233921,0.20973,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #4 TABLET,00603233928,0.20973,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-COD #4 TABLET,68084037301,0.20973,41354.0,EA,C/I,N,1,G
ACETAMINOPHEN-CODEINE SOLUTION,00121050416,0.01229,41354.0,ML,C/I,N,"1, 5",G
ACETAMINOPHEN-CODEINE SOLUTION,00603102058,0.01229,41354.0,ML,C/I,N,"1, 5",G
ACETAMINOPHEN-CODEINE SOLUTION,60432024516,0.01229,41354.0,ML,C/I,N,"1, 5",G
ACETAMINOPHEN-CODEINE SOLUTION,50383007916,0.01229,41354.0,ML,C/I,N,"1, 5",G
ACETASOL HC EAR DROPS,00472088282,9.85214,41354.0,ML,C/I,N,"1, 5",G
ACETAZOLAMIDE 125 MG TABLET,51672402201,0.44002,41354.0,EA,C/I,N,1,G
ACETAZOLAMIDE 250 MG TABLET,00527105001,0.56719,41354.0,EA,C/I,N,1,G
ACETAZOLAMIDE 250 MG TABLET,51672402301,0.56719,41354.0,EA,C/I,N,1,G
ACETAZOLAMIDE 250 MG TABLET,68084054101,0.56719,41354.0,EA,C/I,N,1,G
ACETAZOLAMIDE ER 500 MG CAP,00555051302,2.41076,41354.0,EA,C/I,N,"1, 6",G
ACETAZOLAMIDE ER 500 MG CAP,23155012001,2.41076,41354.0,EA,C/I,N,1,G
ACETAZOLAMIDE ER 500 MG CAP,68084040121,2.41076,41354.0,EA,C/I,N,1,G
ACETAZOLAMIDE ER 500 MG CAP,68382026101,2.41076,41354.0,EA,C/I,N,1,G
ACETIC ACID 2% EAR SOLUTION,00603703841,1.57183,41354.0,ML,C/I,N,"1, 5",G
ACETIC ACID 2% EAR SOLUTION,60432074115,1.57183,41354.0,ML,C/I,N,"1, 5",G
ACETIC ACID 2% EAR SOLUTION,50383088915,1.57183,41354.0,ML,C/I,N,"1, 5, 6",G
ACETIC ACID-ALUMINUM DROPS,24208061577,0.93472,41354.0,ML,C/I,N,"1, 5",G
ACETYLCYSTEINE 10% VIAL,00517751003,0.46662,41326.0,ML,C/I,N,"4, 5",G
ACETYLCYSTEINE 10% VIAL,00409330703,0.22513,41326.0,ML,C/I,N,"4, 5",G
ACETYLCYSTEINE 10% VIAL,00054302502,0.22513,41326.0,ML,C/I,N,"4, 5",G
ACETYLCYSTEINE 10% VIAL,00054302702,0.46662,41326.0,ML,C/I,N,"4, 5",G
ACETYLCYSTEINE 20% VIAL,00409330803,0.25493,41354.0,ML,C/I,N,"1, 5",G
ACETYLCYSTEINE 20% VIAL,00517760425,0.35837,41326.0,ML,C/I,N,"4, 5",G
ACETYLCYSTEINE 20% VIAL,00517761003,0.46339,41354.0,ML,C/I,N,"1, 5",G
ACETYLCYSTEINE 20% VIAL,00517763003,0.25493,41354.0,ML,C/I,N,"1, 5",G
ACETYLCYSTEINE 20% VIAL,00054302802,0.46339,41354.0,ML,C/I,N,"1, 5",G
ACETYLCYSTEINE 20% VIAL,00054302602,0.25493,41354.0,ML,C/I,N,"1, 5",G
ACETYLCYSTEINE 20% VIAL,63323069030,0.25493,41354.0,ML,C/I,N,"1, 5",G
ACID CONTROL 150 MG TABLET,24385026862,0.02202,41354.0,EA,C/I,Y,1,G
ACID CONTROL 150 MG TABLET,24385026871,0.02202,41354.0,EA,C/I,Y,1,G
ACID CONTROL 150 MG TABLET,37205084462,0.02202,41354.0,EA,C/I,Y,1,G
ACID CONTROL 150 MG TABLET,46122004162,0.02202,41354.0,EA,C/I,Y,1,G
ACID CONTROL 75 MG TABLET,24385029665,0.07989,41354.0,EA,C/I,Y,1,G
ACID CONTROL 75 MG TABLET,24385029672,0.07989,41354.0,EA,C/I,Y,1,G
ACID CONTROLLER 20 MG TABLET,63868048625,0.0355,41354.0,EA,C/I,Y,1,G
ACID GONE ANTACID LIQUID,00904772714,0.01083,41326.0,ML,C/I,Y,"4, 5",G
ACID GONE TABLET CHEW,00904536560,0.02743,41326.0,EA,C/I,Y,4,G
ACID REDUCER 10 MG TABLET,00113014165,0.10045,41354.0,EA,C/I,Y,1,G
ACID REDUCER 10 MG TABLET,24385025565,0.10045,41354.0,EA,C/I,Y,1,G
ACID REDUCER 10 MG TABLET,24385025572,0.10045,41354.0,EA,C/I,Y,1,G
ACID REDUCER 10 MG TABLET,37205061465,0.10045,41354.0,EA,C/I,Y,1,G
ACID REDUCER 10 MG TABLET,36800014165,0.10045,41354.0,EA,C/I,Y,1,G
ACID REDUCER 10 MG TABLET,36800014172,0.10045,41354.0,EA,C/I,Y,1,G
ACID REDUCER 150 MG TABLET,00113004771,0.02202,41354.0,EA,C/I,Y,1,G
ACID REDUCER 20 MG TABLET,00113019402,0.0355,41354.0,EA,C/I,Y,1,G
ACID REDUCER 20 MG TABLET,36800019402,0.0355,41354.0,EA,C/I,Y,1,G
ACID REDUCER 20 MG TABLET,36800019451,0.0355,41354.0,EA,C/I,Y,1,G
ACID REDUCER 20 MG TABLET,36800019471,0.0355,41354.0,EA,C/I,Y,1,G
ACID REDUCER 20 MG TABLET,37205086163,0.0355,41354.0,EA,C/I,Y,1,G
ACID REDUCER 20 MG TABLET,24385038551,0.0355,41354.0,EA,C/I,Y,1,G
ACID REDUCER 20 MG TABLET,24385038563,0.0355,41354.0,EA,C/I,Y,1,G
ACID REDUCER 20 MG TABLET,24385038571,0.0355,41354.0,EA,C/I,Y,1,G
ACID REDUCER 20 MG TABLET,24385038578,0.0355,41354.0,EA,C/I,Y,1,G
ACID REDUCER 75 MG TABLET,00113027139,0.07989,41354.0,EA,C/I,Y,1,G
ACID REDUCER 75 MG TABLET,00113027172,0.07989,41354.0,EA,C/I,Y,1,G
ACID REDUCER 75 MG TABLET,68016045308,0.07989,41354.0,EA,C/I,Y,"1, 6",G
ACIDOPHILUS CAPLET,00536718001,0.0244,41354.0,EA,C/I,Y,1,G
ACIDOPHILUS X-STR CAPTAB,00536718101,0.03069,41326.0,EA,C/I,Y,4,G
ACIPHEX DR 20 MG TABLET,62856024390,9.37781,41354.0,EA,C/I,N,1,B
ACIPHEX DR 20 MG TABLET,62856024330,9.37781,41354.0,EA,C/I,N,1,B
ACIPHEX EC 20 MG TABLET,62856024341,9.37781,41354.0,EA,C/I,N,1,B
ACNE TREATMENT 10% CREAM,46122004403,0.07405,41326.0,GM,C/I,Y,"4, 5",G
ACTIVELLA 0.5-0.1 MG TABLET,00169517510,3.59325,41326.0,EA,C/I,N,4,B
ACTIVELLA 0.5-0.1 MG TABLET,00169517511,3.59325,41326.0,EA,C/I,N,4,B
ACTIVELLA 1 MG-0.5 MG TABLET,00169517401,3.97626,41326.0,EA,C/I,N,2,B
ACTIVELLA 1 MG-0.5 MG TABLET,00169517402,3.97626,41326.0,EA,C/I,N,2,B
ACTONEL 150 MG TABLET,00430047801,138.83641,41326.0,EA,C/I,N,2,B
ACTONEL 150 MG TABLET,00430047802,138.83641,41326.0,EA,C/I,N,2,B
ACTONEL 150 MG TABLET,00149047801,138.83641,41326.0,EA,C/I,N,2,B
ACTONEL 150 MG TABLET,00149047803,138.83641,41326.0,EA,C/I,N,2,B
ACTONEL 35 MG TABLET,00430047203,32.05952,41326.0,EA,C/I,N,2,B
ACTONEL 35 MG TABLET,00430047207,32.05952,41326.0,EA,C/I,N,2,B
ACTONEL 35 MG TABLET,00149047201,32.05952,41326.0,EA,C/I,N,2,B
ACTONEL 35 MG TABLET,00149047204,32.05952,41326.0,EA,C/I,N,2,B
ACTONEL 5 MG TABLET,00430047115,4.58409,41326.0,EA,C/I,N,2,B
ACTONEL 5 MG TABLET,00149047101,4.58409,41326.0,EA,C/I,N,2,B
ACTOPLUS MET 15 MG-500 MG TAB,64764015518,5.35909,41354.0,EA,C/I,N,1,B
ACTOPLUS MET 15 MG-500 MG TAB,64764015560,5.35909,41354.0,EA,C/I,N,1,B
ACTOPLUS MET 15 MG-850 MG TAB,64764015818,5.25802,41354.0,EA,C/I,N,1,B
ACTOPLUS MET 15 MG-850 MG TAB,64764015860,5.25802,41354.0,EA,C/I,N,1,B
"ACTOPLUS MET XR 15-1,000 MG TB",64764051030,5.70705,41326.0,EA,C/I,N,2,B
"ACTOPLUS MET XR 30-1,000 MG TB",64764031030,11.28511,41326.0,EA,C/I,N,2,B
ACTOS 15 MG TABLET,64764015104,6.94507,41354.0,EA,C/I,N,1,B
ACTOS 15 MG TABLET,64764015105,6.94507,41354.0,EA,C/I,N,1,B
ACTOS 15 MG TABLET,64764015106,6.94507,41354.0,EA,C/I,N,1,B
ACTOS 30 MG TABLET,64764030114,10.57684,41354.0,EA,C/I,N,1,B
ACTOS 30 MG TABLET,64764030115,10.57684,41354.0,EA,C/I,N,1,B
ACTOS 30 MG TABLET,64764030116,10.57684,41354.0,EA,C/I,N,1,B
ACTOS 45 MG TABLET,64764045124,11.49769,41354.0,EA,C/I,N,1,B
ACTOS 45 MG TABLET,64764045125,11.49769,41354.0,EA,C/I,N,1,B
ACTOS 45 MG TABLET,64764045126,11.49769,41354.0,EA,C/I,N,1,B
ACULAR 0.5% EYE DROPS,00023218105,29.81838,41326.0,ML,C/I,N,"4, 5",B
ACUVAIL 0.45% OPHTH SOLUTION,00023350730,5.56752,41326.0,EA,C/I,N,"2, 5",B
ACYCLOVIR 200 MG CAPSULE,00378220001,0.10342,41354.0,EA,C/I,N,1,G
ACYCLOVIR 200 MG CAPSULE,00093894001,0.10342,41354.0,EA,C/I,N,1,G
ACYCLOVIR 200 MG CAPSULE,00093894005,0.10342,41354.0,EA,C/I,N,1,G
ACYCLOVIR 200 MG CAPSULE,00093894093,0.10342,41354.0,EA,C/I,N,1,G
ACYCLOVIR 200 MG CAPSULE,23155014601,0.10342,41354.0,EA,C/I,N,1,G
ACYCLOVIR 200 MG CAPSULE,63304065201,0.10342,41354.0,EA,C/I,N,1,G
ACYCLOVIR 200 MG CAPSULE,60505004206,0.10342,41354.0,EA,C/I,N,1,G
ACYCLOVIR 200 MG CAPSULE,61442011101,0.10342,41354.0,EA,C/I,N,1,G
ACYCLOVIR 200 MG CAPSULE,61442011105,0.10342,41354.0,EA,C/I,N,1,G
ACYCLOVIR 200 MG CAPSULE,67253010010,0.10342,41354.0,EA,C/I,N,1,G
ACYCLOVIR 200 MG CAPSULE,67253010011,0.10342,41354.0,EA,C/I,N,1,G
ACYCLOVIR 200 MG/5 ML SUSP,00472008216,0.17,41354.0,ML,C/I,N,"1, 5",G
ACYCLOVIR 200 MG/5 ML SUSP,50383081016,0.17,41354.0,ML,C/I,N,"1, 5",G
ACYCLOVIR 400 MG TABLET,00378025301,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,00378025305,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,00093894301,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,00093894305,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,00093894393,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,00904612161,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,61442011201,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,61442011205,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,60505530601,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,60505530608,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,63304050401,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,67253010110,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 400 MG TABLET,67253010111,0.13168,41354.0,EA,C/I,N,1,G
ACYCLOVIR 800 MG TABLET,00378030201,0.23516,41354.0,EA,C/I,N,1,G
ACYCLOVIR 800 MG TABLET,00093894701,0.23516,41354.0,EA,C/I,N,1,G
ACYCLOVIR 800 MG TABLET,00093894705,0.23516,41354.0,EA,C/I,N,1,G
ACYCLOVIR 800 MG TABLET,00093894793,0.23516,41354.0,EA,C/I,N,1,G
ACYCLOVIR 800 MG TABLET,63304050501,0.23516,41354.0,EA,C/I,N,1,G
ACYCLOVIR 800 MG TABLET,60505530701,0.23516,41354.0,EA,C/I,N,1,G
ACYCLOVIR 800 MG TABLET,60505530705,0.23516,41354.0,EA,C/I,N,1,G
ACYCLOVIR 800 MG TABLET,61442011301,0.23516,41354.0,EA,C/I,N,1,G
ACYCLOVIR 800 MG TABLET,61442011305,0.23516,41354.0,EA,C/I,N,1,G
ACZONE 5% GEL,00023367030,5.83398,41326.0,GM,C/I,N,"2, 5",B
ACZONE 5% GEL,00023367060,5.50699,41326.0,GM,C/I,N,"2, 5",B
ADAPALENE 0.1% CREAM,00168042446,3.91775,41354.0,GM,C/I,N,"1, 5",G
ADAPALENE 0.1% CREAM,45802045384,3.91775,41354.0,GM,C/I,N,"1, 5, 6",G
ADAPALENE 0.1% GEL,00093630195,2.30969,41354.0,GM,C/I,N,"1, 5",G
