DRAFT,,,,,,,,,,
CMS,,,,,,,,,,
Weekly NADAC Reference File as of 08/15/2013,,,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting","Corresponding
Generic Drug
NADAC
Per Unit","Corresponding
Generic Drug
Effective
Date"
ABILIFY 1 MG/ML SOLUTION,59148001315,4.73227,41395.0,ML,C/I,N,"2, 5",B,,
ABILIFY 10 MG TABLET,59148000813,21.85124,41395.0,EA,C/I,N,2,B,,
ABILIFY 10 MG TABLET,59148000835,21.85124,41395.0,EA,C/I,N,2,B,,
ABILIFY 15 MG TABLET,59148000913,21.78712,41395.0,EA,C/I,N,2,B,,
ABILIFY 15 MG TABLET,59148000935,21.78712,41395.0,EA,C/I,N,2,B,,
ABILIFY 2 MG TABLET,59148000613,21.84043,41395.0,EA,C/I,N,2,B,,
ABILIFY 20 MG TABLET,59148001013,30.70133,41395.0,EA,C/I,N,2,B,,
ABILIFY 20 MG TABLET,59148001035,30.70133,41395.0,EA,C/I,N,2,B,,
ABILIFY 30 MG TABLET,59148001113,30.7488,41395.0,EA,C/I,N,2,B,,
ABILIFY 30 MG TABLET,59148001135,30.7488,41395.0,EA,C/I,N,2,B,,
ABILIFY 5 MG TABLET,59148000713,21.99765,41395.0,EA,C/I,N,2,B,,
ABILIFY 5 MG TABLET,59148000735,21.99765,41395.0,EA,C/I,N,2,B,,
ABREVA 10% CREAM,00135020001,6.89403,41445.0,GM,C/I,Y,"2, 5",B,,
ABREVA 10% CREAM,00135020003,6.89403,41445.0,GM,C/I,Y,"2, 5",B,,
ABSORICA 30 MG CAPSULE,10631011731,22.65395,41417.0,EA,C/I,N,2,B,12.29708,41480.0
ABSORICA 40 MG CAPSULE,10631011831,22.7648,41382.0,EA,C/I,N,2,B,7.95728,41480.0
ACANYA GEL PUMP,13548013250,5.95526,41365.0,GM,C/I,N,"2, 5",B,,
ACARBOSE 100 MG TABLET,00054014225,0.45598,41473.0,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,00115115201,0.45598,41473.0,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,00115115202,0.45598,41473.0,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,00378282210,0.45598,41473.0,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,00378282277,0.45598,41473.0,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,16252052501,0.45598,41473.0,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,23155014901,0.45598,41473.0,EA,C/I,N,1,G,,
ACARBOSE 100 MG TABLET,51862021201,0.45598,41473.0,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,00054014025,0.39219,41473.0,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,00115115001,0.39219,41473.0,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,00115115002,0.39219,41473.0,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,00378282010,0.39219,41473.0,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,00378282077,0.39219,41473.0,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,16252052301,0.39219,41473.0,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,23155014701,0.39219,41473.0,EA,C/I,N,1,G,,
ACARBOSE 25 MG TABLET,51862021001,0.39219,41473.0,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00054014120,0.41767,41473.0,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00054014125,0.41767,41473.0,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00115115101,0.41767,41473.0,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00115115102,0.41767,41473.0,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00378282110,0.41767,41473.0,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,00378282177,0.41767,41473.0,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,16252052401,0.41767,41473.0,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,23155014801,0.41767,41473.0,EA,C/I,N,1,G,,
ACARBOSE 50 MG TABLET,51862021101,0.41767,41473.0,EA,C/I,N,1,G,,
ACCOLATE 20 MG TABLET,00310040260,1.85569,41473.0,EA,C/I,N,1,B,1.03904,41480.0
ACCUNEB 0.63 MG/3 ML INH SOLN,49502069203,0.57771,41326.0,ML,C/I,N,"4, 5",B,0.37611,41480.0
ACCUNEB 1.25 MG/3 ML INH SOLN,49502069303,0.59111,41326.0,ML,C/I,N,"4, 5",B,0.28828,41480.0
ACCUPRIL 10 MG TABLET,00071053023,2.24099,41456.0,EA,C/I,N,4,B,0.16226,41480.0
ACCUPRIL 10 MG TABLET,00071053040,2.24099,41456.0,EA,C/I,N,4,B,0.16226,41480.0
ACCUPRIL 20 MG TABLET,00071053223,2.25446,41456.0,EA,C/I,N,4,B,0.17353,41480.0
ACCUPRIL 20 MG TABLET,00071053240,2.25446,41456.0,EA,C/I,N,4,B,0.17353,41480.0
ACCUPRIL 40 MG TABLET,00071053523,2.25382,41456.0,EA,C/I,N,4,B,0.17543,41480.0
ACEBUTOLOL 200 MG CAPSULE,00378120001,0.18117,41473.0,EA,C/I,N,1,G,,
ACEBUTOLOL 200 MG CAPSULE,65162066910,0.18117,41473.0,EA,C/I,N,1,G,,
ACEBUTOLOL 400 MG CAPSULE,00378140001,0.23046,41445.0,EA,C/I,N,1,G,,
ACEBUTOLOL 400 MG CAPSULE,65162067010,0.23046,41445.0,EA,C/I,N,1,G,,
ACEPHEN 120 MG SUPPOSITORY,00713011801,0.39128,41473.0,EA,C/I,Y,1,G,,
ACEPHEN 120 MG SUPPOSITORY,00713011812,0.39128,41473.0,EA,C/I,Y,1,G,,
ACEPHEN 120 MG SUPPOSITORY,00713011850,0.39128,41473.0,EA,C/I,Y,1,G,,
ACEPHEN 325 MG SUPPOSITORY,00713016401,0.5475,41473.0,EA,C/I,Y,1,G,,
ACEPHEN 325 MG SUPPOSITORY,00713016412,0.5475,41473.0,EA,C/I,Y,1,G,,
ACEPHEN 325 MG SUPPOSITORY,00713016450,0.5475,41473.0,EA,C/I,Y,1,G,,
ACEPHEN 650 MG SUPPOSITORY,00713016501,0.48666,41473.0,EA,C/I,Y,1,G,,
ACEPHEN 650 MG SUPPOSITORY,00713016512,0.48666,41473.0,EA,C/I,Y,1,G,,
ACEPHEN 650 MG SUPPOSITORY,00713016550,0.48666,41473.0,EA,C/I,Y,1,G,,
ACETA-GESIC 325-12.5 MG TABLET,00536360501,0.01941,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,0.39128,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,0.39128,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG SUPPOS,00536132012,0.5475,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG TABLET,11383013917,0.01133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG TABLET,51645070301,0.01133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG TABLET,51645070310,0.01133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG TABLET,51645070399,0.01133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG TABLET,63739044001,0.01133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 325 MG TABLET,63739044004,0.01133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,11383013811,0.02133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,11383013826,0.02133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,11383013851,0.02133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,51645070501,0.02133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,51645070510,0.02133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG CAPLET,63739043901,0.02133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG TABLET,11383001111,0.02133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG TABLET,11383001126,0.02133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG TABLET,51645070601,0.02133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG TABLET,51645070610,0.02133,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 500 MG/5 ML LIQ,60258005008,0.02064,41417.0,ML,C/I,Y,"4, 5",G,,
ACETAMINOPHEN 650 MG SUPPOS,00536126012,0.48666,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 650 MG SUPPOS,45802073030,0.48666,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 650 MG SUPPOS,45802073032,0.48666,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN 650 MG SUPPOS,45802073033,0.48666,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN PM CAPLET,51645070905,0.04394,41473.0,EA,C/I,Y,1,G,,
ACETAMINOPHEN-BUTALBITAL 325-50 TAB,00603254021,0.25503,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,64376061101,1.21733,41445.0,EA,C/I,N,4,G,,
ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,64376061131,1.21733,41445.0,EA,C/I,N,4,G,,
ACETAMINOPHEN-COD #2 TABLET,00093005001,0.11838,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #2 TABLET,00406048301,0.11838,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #2 TABLET,00603233721,0.11838,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00093015001,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00093015010,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048401,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048403,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048410,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048420,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048450,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00406048462,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233802,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233804,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233816,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233820,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233821,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233822,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,00603233832,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,51079016101,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,51079016120,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,51079016121,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,51079016199,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,63739000410,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,65162003310,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,65162003311,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #3 TABLET,68084037201,0.11483,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00093035001,0.22689,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00093035005,0.22689,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00093035010,0.22689,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00406048501,0.22689,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00406048505,0.22689,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00603233921,0.22689,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,00603233928,0.22689,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-COD #4 TABLET,68084037301,0.22689,41473.0,EA,C/I,N,1,G,,
ACETAMINOPHEN-CODEINE SOLUTION,00121050416,0.01236,41473.0,ML,C/I,N,"1, 5",G,,
ACETAMINOPHEN-CODEINE SOLUTION,00603102058,0.01236,41473.0,ML,C/I,N,"1, 5",G,,
ACETAMINOPHEN-CODEINE SOLUTION,50383007916,0.01236,41473.0,ML,C/I,N,"1, 5",G,,
ACETAMINOPHEN-CODEINE SOLUTION,60432024516,0.01236,41473.0,ML,C/I,N,"1, 5",G,,
ACETASOL HC EAR DROPS,00472088282,10.89251,41473.0,ML,C/I,N,"1, 5",G,,
ACETAZOLAMIDE 125 MG TABLET,51672402201,0.54563,41473.0,EA,C/I,N,1,G,,
ACETAZOLAMIDE 250 MG TABLET,00527105001,0.6211,41473.0,EA,C/I,N,1,G,,
ACETAZOLAMIDE 250 MG TABLET,51672402301,0.6211,41473.0,EA,C/I,N,1,G,,
ACETAZOLAMIDE 250 MG TABLET,68084054101,0.6211,41473.0,EA,C/I,N,1,G,,
ACETAZOLAMIDE ER 500 MG CAP,00555051302,2.36153,41473.0,EA,C/I,N,"1, 6",G,,
ACETAZOLAMIDE ER 500 MG CAP,23155012001,2.36153,41473.0,EA,C/I,N,1,G,,
ACETAZOLAMIDE ER 500 MG CAP,68084040121,2.36153,41473.0,EA,C/I,N,1,G,,
ACETAZOLAMIDE ER 500 MG CAP,68382026101,2.36153,41473.0,EA,C/I,N,1,G,,
ACETIC ACID 2% EAR SOLUTION,00603703841,1.61243,41473.0,ML,C/I,N,"1, 5",G,,
ACETIC ACID 2% EAR SOLUTION,50383088915,1.61243,41473.0,ML,C/I,N,"1, 5, 6",G,,
ACETIC ACID 2% EAR SOLUTION,60432074115,1.61243,41473.0,ML,C/I,N,"1, 5",G,,
ACETIC ACID-ALUMINUM DROPS,24208061577,0.97606,41382.0,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 10% VIAL,00054302502,0.22513,41326.0,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 10% VIAL,00409330703,0.22513,41326.0,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 10% VIAL,00054302702,0.46662,41326.0,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 10% VIAL,00517751003,0.46662,41326.0,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 20% VIAL,00517760425,0.35837,41326.0,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 20% VIAL,00054302602,0.40937,41473.0,ML,C/I,N,"1, 5",G,,
ACETYLCYSTEINE 20% VIAL,00409330803,0.40937,41473.0,ML,C/I,N,"1, 5",G,,
ACETYLCYSTEINE 20% VIAL,00517763003,0.40937,41473.0,ML,C/I,N,"1, 5",G,,
ACETYLCYSTEINE 20% VIAL,63323069030,0.40937,41473.0,ML,C/I,N,"1, 5",G,,
ACETYLCYSTEINE 20% VIAL,00054302802,0.46339,41354.0,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 20% VIAL,00517761003,0.46339,41354.0,ML,C/I,N,"4, 5",G,,
ACETYLCYSTEINE 200 MG/ML VIAL,63323096330,6.13755,41473.0,ML,C/I,N,"1, 5",G,,
ACETYLCYSTEINE 6 GRAM/30 ML VL,00574080530,6.13755,41473.0,ML,C/I,N,"1, 5, 6",G,,
ACID CONTROL 150 MG TABLET,24385026862,0.02154,41473.0,EA,C/I,Y,1,G,,
ACID CONTROL 150 MG TABLET,24385026871,0.02154,41473.0,EA,C/I,Y,1,G,,
ACID CONTROL 150 MG TABLET,37205084462,0.02154,41473.0,EA,C/I,Y,1,G,,
ACID CONTROL 150 MG TABLET,46122004162,0.02154,41473.0,EA,C/I,Y,1,G,,
ACID CONTROL 150 MG TABLET,46122004171,0.02154,41473.0,EA,C/I,Y,"1, 6",G,,
ACID CONTROL 75 MG TABLET,24385029665,0.07719,41473.0,EA,C/I,Y,1,G,,
ACID CONTROL 75 MG TABLET,24385029672,0.07719,41473.0,EA,C/I,Y,1,G,,
ACID CONTROLLER 20 MG TABLET,63868048625,0.03807,41473.0,EA,C/I,Y,1,G,,
ACID GONE ANTACID LIQUID,00904772714,0.00978,41417.0,ML,C/I,Y,"4, 5",G,,
ACID GONE TABLET CHEW,00904536560,0.03012,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,00113014165,0.09622,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,24385025565,0.09622,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,24385025572,0.09622,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,36800014165,0.09622,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,36800014172,0.09622,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 10 MG TABLET,37205061465,0.09622,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 150 MG TABLET,00113004771,0.02154,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,00113019402,0.03807,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,24385038551,0.03807,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,24385038563,0.03807,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,24385038571,0.03807,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,24385038578,0.03807,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,36800019402,0.03807,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,36800019451,0.03807,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,36800019471,0.03807,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 20 MG TABLET,37205086163,0.03807,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 75 MG TABLET,00113027139,0.07719,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 75 MG TABLET,00113027172,0.07719,41473.0,EA,C/I,Y,1,G,,
ACID REDUCER 75 MG TABLET,68016045308,0.07719,41473.0,EA,C/I,Y,"1, 6",G,,
ACIDOPHILUS CAPLET,00536718001,0.0232,41473.0,EA,C/I,Y,1,G,,
ACIDOPHILUS X-STR CAPTAB,00536718101,0.02694,41473.0,EA,C/I,Y,1,G,,
ACIPHEX DR 20 MG TABLET,62856024330,10.30629,41401.0,EA,C/I,N,2,B,,
ACIPHEX DR 20 MG TABLET,62856024390,10.30629,41401.0,EA,C/I,N,2,B,,
ACIPHEX EC 20 MG TABLET,62856024341,10.30629,41401.0,EA,C/I,N,2,B,,
ACNE TREATMENT 10% CREAM,46122004403,0.05743,41382.0,GM,C/I,Y,"4, 5",G,,
ACTIVELLA 0.5-0.1 MG TABLET,00169517510,3.94884,41352.0,EA,C/I,N,2,B,2.61021,41480.0
ACTIVELLA 0.5-0.1 MG TABLET,00169517511,3.94884,41352.0,EA,C/I,N,2,B,2.61021,41480.0
ACTIVELLA 1 MG-0.5 MG TABLET,00169517401,4.20526,41417.0,EA,C/I,N,4,B,2.88999,41480.0
ACTIVELLA 1 MG-0.5 MG TABLET,00169517402,4.20526,41417.0,EA,C/I,N,4,B,2.88999,41480.0
ACTONEL 150 MG TABLET,00149047801,152.58395,41487.0,EA,C/I,N,3,B,,
ACTONEL 150 MG TABLET,00149047803,152.58395,41487.0,EA,C/I,N,3,B,,
ACTONEL 150 MG TABLET,00430047801,152.58395,41487.0,EA,C/I,N,3,B,,
ACTONEL 150 MG TABLET,00430047802,152.58395,41487.0,EA,C/I,N,3,B,,
ACTONEL 35 MG TABLET,00149047201,35.23277,41487.0,EA,C/I,N,3,B,,
ACTONEL 35 MG TABLET,00149047204,35.23277,41487.0,EA,C/I,N,3,B,,
ACTONEL 35 MG TABLET,00430047203,35.23277,41487.0,EA,C/I,N,3,B,,
ACTONEL 35 MG TABLET,00430047207,35.23277,41487.0,EA,C/I,N,3,B,,
ACTONEL 5 MG TABLET,00149047101,5.03782,41487.0,EA,C/I,N,3,B,,
ACTONEL 5 MG TABLET,00430047115,5.03782,41487.0,EA,C/I,N,3,B,,
ACTOPLUS MET 15 MG-500 MG TAB,64764015518,5.77081,41464.0,EA,C/I,N,3,B,2.56231,41480.0
ACTOPLUS MET 15 MG-500 MG TAB,64764015560,5.77081,41464.0,EA,C/I,N,3,B,2.56231,41480.0
ACTOPLUS MET 15 MG-850 MG TAB,64764015818,5.77781,41464.0,EA,C/I,N,3,B,2.69305,41480.0
ACTOPLUS MET 15 MG-850 MG TAB,64764015860,5.77781,41464.0,EA,C/I,N,3,B,2.69305,41480.0
"ACTOPLUS MET XR 15-1,000 MG TB",64764051030,6.2721,41464.0,EA,C/I,N,3,B,,
"ACTOPLUS MET XR 30-1,000 MG TB",64764031030,12.40222,41464.0,EA,C/I,N,3,B,,
ACTOS 15 MG TABLET,64764015104,7.6327,41464.0,EA,C/I,N,3,B,0.18848,41480.0
ACTOS 15 MG TABLET,64764015105,7.6327,41464.0,EA,C/I,N,3,B,0.18848,41480.0
ACTOS 15 MG TABLET,64764015106,7.6327,41464.0,EA,C/I,N,3,B,0.18848,41480.0
ACTOS 30 MG TABLET,64764030114,11.62386,41464.0,EA,C/I,N,3,B,0.26628,41480.0
ACTOS 30 MG TABLET,64764030115,11.62386,41464.0,EA,C/I,N,3,B,0.26628,41480.0
ACTOS 30 MG TABLET,64764030116,11.62386,41464.0,EA,C/I,N,3,B,0.26628,41480.0
ACTOS 45 MG TABLET,64764045124,12.63606,41464.0,EA,C/I,N,3,B,0.2946,41480.0
ACTOS 45 MG TABLET,64764045125,12.63606,41464.0,EA,C/I,N,3,B,0.2946,41480.0
ACTOS 45 MG TABLET,64764045126,12.63606,41464.0,EA,C/I,N,3,B,0.2946,41480.0
ACULAR 0.5% EYE DROPS,00023218105,31.60808,41412.0,ML,C/I,N,"4, 5",B,1.91819,41480.0
ACUVAIL 0.45% OPHTH SOLUTION,00023350730,5.90157,41412.0,EA,C/I,N,"4, 5",B,,
ACYCLOVIR 200 MG CAPSULE,00093894001,0.1084,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,00093894005,0.1084,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,00093894093,0.1084,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,00378220001,0.1084,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,23155014601,0.1084,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,60505004206,0.1084,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,61442011101,0.1084,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,61442011105,0.1084,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,63304065201,0.1084,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,67253010010,0.1084,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG CAPSULE,67253010011,0.1084,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 200 MG/5 ML SUSP,00472008216,0.17868,41473.0,ML,C/I,N,"1, 5",G,,
ACYCLOVIR 200 MG/5 ML SUSP,50383081016,0.17868,41473.0,ML,C/I,N,"1, 5",G,,
ACYCLOVIR 400 MG TABLET,00093894301,0.13303,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 400 MG TABLET,00093894305,0.13303,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 400 MG TABLET,00093894393,0.13303,41473.0,EA,C/I,N,1,G,,
ACYCLOVIR 400 MG TABLET,00378025301,0.13303,41473.0,EA,C/I,N,1,G,,
