,,,,,,,,,,,
CMS,,,,,,,,,,,
Weekly NADAC Reference File as of 12/25/2013,,,,,,,,,,,
NDC Description,NDC,"NADAC
Per Unit","Effective
Date","Pricing
Unit","Pharmacy
Type
Indicator",OTC,"Explanation
Code","Classification
for Rate
Setting","Corresponding
Generic Drug
NADAC
Per Unit","Corresponding
Generic Drug
Effective
Date",
ABILIFY 5 MG TABLET,59148000713,21.99765,05/01/2013,EA,C/I,N,2,B,,,
ABILIFY 5 MG TABLET,59148000735,21.99765,05/01/2013,EA,C/I,N,2,B,,,
ABILIFY MAINTENA ER 300 MG VL,59148001871,1046.05143,10/24/2013,EA,C/I,N,4,B,,,
ABILIFY MAINTENA ER 400 MG VL,59148001971,1413.65556,10/24/2013,EA,C/I,N,2,B,,,
ABREVA 10% CREAM,00135020001,7.06011,11/01/2013,GM,C/I,Y,"2, 5",B,,,
ABREVA 10% CREAM,00135020003,7.06011,11/01/2013,GM,C/I,Y,"2, 5",B,,,
ABSORBASE OINTMENT,46287050716,0.01549,12/18/2013,GM,C/I,Y,"1, 5",G,,,
ABSORICA 20 MG CAPSULE,10631011631,21.21000,10/24/2013,EA,C/I,N,2,B,,,
ABSORICA 30 MG CAPSULE,10631011731,22.65395,05/23/2013,EA,C/I,N,2,B,,,
ABSORICA 40 MG CAPSULE,10631011831,22.76480,04/18/2013,EA,C/I,N,2,B,,,
ACAMPROSATE CALC DR 333 MG TAB,00258400060,0.79849,12/18/2013,EA,C/I,N,"1, 6",G,,,
ACAMPROSATE CALC DR 333 MG TAB,68462043518,0.79849,12/18/2013,EA,C/I,N,"1, 6",G,,,
ACANYA GEL PUMP,13548013250,6.54477,10/01/2013,GM,C/I,N,"2, 5",B,,,
ACARBOSE 100 MG TABLET,00054014225,0.42331,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 100 MG TABLET,00115115201,0.42331,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 100 MG TABLET,00115115202,0.42331,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 100 MG TABLET,00378282210,0.42331,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 100 MG TABLET,00378282277,0.42331,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 100 MG TABLET,16252052501,0.42331,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 100 MG TABLET,23155014901,0.42331,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 100 MG TABLET,47781034201,0.42331,12/18/2013,EA,C/I,N,"1, 6",G,,,
ACARBOSE 100 MG TABLET,51862021201,0.42331,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 25 MG TABLET,00054014025,0.35617,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 25 MG TABLET,00115115001,0.35617,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 25 MG TABLET,00115115002,0.35617,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 25 MG TABLET,00378282010,0.35617,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 25 MG TABLET,00378282077,0.35617,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 25 MG TABLET,16252052301,0.35617,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 25 MG TABLET,23155014701,0.35617,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 25 MG TABLET,47781034001,0.35617,12/18/2013,EA,C/I,N,"1, 6",G,,,
ACARBOSE 25 MG TABLET,51862021001,0.35617,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 50 MG TABLET,00054014120,0.37523,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 50 MG TABLET,00054014125,0.37523,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 50 MG TABLET,00115115101,0.37523,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 50 MG TABLET,00115115102,0.37523,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 50 MG TABLET,00378282110,0.37523,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 50 MG TABLET,00378282177,0.37523,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 50 MG TABLET,16252052401,0.37523,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 50 MG TABLET,23155014801,0.37523,12/18/2013,EA,C/I,N,1,G,,,
ACARBOSE 50 MG TABLET,47781034101,0.37523,12/18/2013,EA,C/I,N,"1, 6",G,,,
ACARBOSE 50 MG TABLET,51862021101,0.37523,12/18/2013,EA,C/I,N,1,G,,,
ACCOLATE 20 MG TABLET,00310040260,1.85569,07/18/2013,EA,C/I,N,4,B,1.04619,12/18/2013,
ACCUPRIL 10 MG TABLET,00071053023,2.24099,07/01/2013,EA,C/I,N,2,B,0.15436,12/18/2013,
ACCUPRIL 10 MG TABLET,00071053040,2.24099,07/01/2013,EA,C/I,N,2,B,0.15436,12/18/2013,
ACCUPRIL 20 MG TABLET,00071053223,2.25446,07/01/2013,EA,C/I,N,4,B,0.15732,12/18/2013,
ACCUPRIL 20 MG TABLET,00071053240,2.25446,07/01/2013,EA,C/I,N,4,B,0.15732,12/18/2013,
ACCUPRIL 40 MG TABLET,00071053523,2.25382,07/01/2013,EA,C/I,N,4,B,0.15887,12/18/2013,
ACEBUTOLOL 200 MG CAPSULE,00378120001,0.17414,12/18/2013,EA,C/I,N,1,G,,,
ACEBUTOLOL 200 MG CAPSULE,65162066910,0.17414,12/18/2013,EA,C/I,N,1,G,,,
ACEBUTOLOL 400 MG CAPSULE,00378140001,0.22294,12/18/2013,EA,C/I,N,1,G,,,
ACEBUTOLOL 400 MG CAPSULE,65162067010,0.22294,12/18/2013,EA,C/I,N,1,G,,,
ACEPHEN 120 MG SUPPOSITORY,00713011801,0.47396,12/18/2013,EA,C/I,Y,1,G,,,
ACEPHEN 120 MG SUPPOSITORY,00713011812,0.47396,12/18/2013,EA,C/I,Y,1,G,,,
ACEPHEN 120 MG SUPPOSITORY,00713011850,0.47396,12/18/2013,EA,C/I,Y,1,G,,,
ACEPHEN 325 MG SUPPOSITORY,00713016401,0.58619,12/18/2013,EA,C/I,Y,1,G,,,
ACEPHEN 325 MG SUPPOSITORY,00713016412,0.58619,12/18/2013,EA,C/I,Y,1,G,,,
ACEPHEN 325 MG SUPPOSITORY,00713016450,0.58619,12/18/2013,EA,C/I,Y,1,G,,,
ACEPHEN 650 MG SUPPOSITORY,00713016501,0.37585,12/18/2013,EA,C/I,Y,1,G,,,
ACEPHEN 650 MG SUPPOSITORY,00713016512,0.37585,12/18/2013,EA,C/I,Y,1,G,,,
ACEPHEN 650 MG SUPPOSITORY,00713016550,0.37585,12/18/2013,EA,C/I,Y,1,G,,,
ACETA-GESIC 325-12.5 MG TABLET,00536360501,0.01964,10/24/2013,EA,C/I,Y,4,G,,,
ACETAMINOPHEN 120 MG SUPPOS,45802073230,0.47396,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 120 MG SUPPOS,45802073233,0.47396,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 325 MG SUPPOS,00536132012,0.58619,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 325 MG TABLET,11383013917,0.01051,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 325 MG TABLET,51645070301,0.01051,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 325 MG TABLET,51645070310,0.01051,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 325 MG TABLET,51645070399,0.01051,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 325 MG TABLET,63739044001,0.01051,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG CAPLET,10267119001,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG CAPLET,10267119004,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG CAPLET,10267119005,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG CAPLET,10267119006,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG CAPLET,11383013811,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG CAPLET,11383013826,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG CAPLET,11383013851,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG CAPLET,51645070501,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG CAPLET,51645070510,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG CAPLET,63739043901,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG TABLET,11383001111,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG TABLET,11383001126,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG TABLET,51645070601,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG TABLET,51645070610,0.02188,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 500 MG/5 ML LIQ,60258005008,0.02064,05/23/2013,ML,C/I,Y,"4, 5",G,,,
ACETAMINOPHEN 650 MG SUPPOS,00536126012,0.37585,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 650 MG SUPPOS,45802073030,0.37585,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 650 MG SUPPOS,45802073032,0.37585,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN 650 MG SUPPOS,45802073033,0.37585,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN PM CAPLET,51645070905,0.04162,12/18/2013,EA,C/I,Y,1,G,,,
ACETAMINOPHEN-BUTALBITAL 325-50 TAB,00603254021,0.25790,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,64376061101,1.12669,08/22/2013,EA,C/I,N,4,G,,,
ACETAMINOPHEN-CAFFEINE-DIHYDROCODE TAB,64376061131,1.12669,08/22/2013,EA,C/I,N,4,G,,,
ACETAMINOPHEN-COD #2 TABLET,00093005001,0.13175,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #2 TABLET,00406048301,0.13175,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #2 TABLET,00603233721,0.13175,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00093015001,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00093015010,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00406048401,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00406048403,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00406048410,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00406048420,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00406048450,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00406048462,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00603233802,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00603233804,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00603233816,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00603233820,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00603233821,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00603233822,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,00603233832,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,51079016101,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,51079016120,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,51079016121,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,51079016199,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,63739000410,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,65162003310,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,65162003311,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #3 TABLET,68084037201,0.11446,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #4 TABLET,00093035001,0.21942,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #4 TABLET,00093035005,0.21942,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #4 TABLET,00093035010,0.21942,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #4 TABLET,00406048501,0.21942,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #4 TABLET,00406048505,0.21942,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #4 TABLET,00603233921,0.21942,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #4 TABLET,00603233928,0.21942,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-COD #4 TABLET,68084037301,0.21942,12/18/2013,EA,C/I,N,1,G,,,
ACETAMINOPHEN-CODEINE SOLUTION,00121050416,0.01216,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETAMINOPHEN-CODEINE SOLUTION,00603102058,0.01216,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETAMINOPHEN-CODEINE SOLUTION,00603901358,0.01216,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETAMINOPHEN-CODEINE SOLUTION,50383007916,0.01216,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETAMINOPHEN-CODEINE SOLUTION,60432024516,0.01216,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETASOL HC EAR DROPS,00472088282,9.05725,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETAZOLAMIDE 125 MG TABLET,51672402201,0.53377,12/18/2013,EA,C/I,N,1,G,,,
ACETAZOLAMIDE 250 MG TABLET,00527105001,0.61261,12/18/2013,EA,C/I,N,1,G,,,
ACETAZOLAMIDE 250 MG TABLET,51672402301,0.61261,12/18/2013,EA,C/I,N,1,G,,,
ACETAZOLAMIDE 250 MG TABLET,68084054101,0.61261,12/18/2013,EA,C/I,N,1,G,,,
ACETAZOLAMIDE ER 500 MG CAP,00555051302,2.30941,12/18/2013,EA,C/I,N,"1, 6",G,,,
ACETAZOLAMIDE ER 500 MG CAP,23155012001,2.30941,12/18/2013,EA,C/I,N,1,G,,,
ACETAZOLAMIDE ER 500 MG CAP,68084040121,2.30941,12/18/2013,EA,C/I,N,1,G,,,
ACETAZOLAMIDE ER 500 MG CAP,68382026101,2.30941,12/18/2013,EA,C/I,N,1,G,,,
ACETIC ACID 2% EAR SOLUTION,00603703841,1.67349,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETIC ACID 2% EAR SOLUTION,50383088915,1.67349,12/18/2013,ML,C/I,N,"1, 5, 6",G,,,
ACETIC ACID 2% EAR SOLUTION,60432074115,1.67349,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETIC ACID-ALUMINUM DROPS,24208061577,0.91687,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETYLCYSTEINE 20% VIAL,00054302602,0.37926,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETYLCYSTEINE 20% VIAL,00409330803,0.37926,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETYLCYSTEINE 20% VIAL,00517763003,0.37926,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETYLCYSTEINE 20% VIAL,63323069030,0.37926,12/18/2013,ML,C/I,N,"1, 5",G,,,
ACETYLCYSTEINE 20% VIAL,00054302802,0.46339,03/21/2013,ML,C/I,N,"4, 5",G,,,
ACETYLCYSTEINE 20% VIAL,00517761003,0.46339,03/21/2013,ML,C/I,N,"4, 5",G,,,
ACETYLCYSTEINE 6 GRAM/30 ML VL,00574080530,6.13755,07/18/2013,ML,C/I,N,"4, 5, 6",G,,,
ACETYLCYSTEINE 6 GRAM/30 ML VL,63323096330,6.13755,07/18/2013,ML,C/I,N,"4, 5",G,,,
ACID CONTROL 150 MG TABLET,24385026862,0.13439,12/18/2013,EA,C/I,Y,1,G,,,
ACID CONTROL 150 MG TABLET,24385026871,0.13439,12/18/2013,EA,C/I,Y,1,G,,,
ACID CONTROL 150 MG TABLET,37205084462,0.13439,12/18/2013,EA,C/I,Y,1,G,,,
ACID CONTROL 150 MG TABLET,46122004162,0.13439,12/18/2013,EA,C/I,Y,1,G,,,
ACID CONTROL 150 MG TABLET,46122004171,0.13439,12/18/2013,EA,C/I,Y,1,G,,,
ACID CONTROL 75 MG TABLET,24385029665,0.07958,12/18/2013,EA,C/I,Y,1,G,,,
ACID CONTROL 75 MG TABLET,24385029672,0.07958,12/18/2013,EA,C/I,Y,1,G,,,
ACID CONTROLLER 20 MG TABLET,63868048625,0.18263,12/18/2013,EA,C/I,Y,1,G,,,
ACID GONE ANTACID LIQUID,00904772714,0.01093,12/18/2013,ML,C/I,Y,"1, 5",G,,,
ACID GONE TABLET CHEW,00904536560,0.02915,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 10 MG TABLET,00113014165,0.09747,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 10 MG TABLET,24385025565,0.09747,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 10 MG TABLET,24385025572,0.09747,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 10 MG TABLET,36800014165,0.09747,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 10 MG TABLET,36800014172,0.09747,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 10 MG TABLET,37205061465,0.09747,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 150 MG TABLET,00113004771,0.13439,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 20 MG TABLET,00113019402,0.18263,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 20 MG TABLET,24385038551,0.18263,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 20 MG TABLET,24385038563,0.18263,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 20 MG TABLET,24385038571,0.18263,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 20 MG TABLET,24385038578,0.18263,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 20 MG TABLET,36800019402,0.18263,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 20 MG TABLET,36800019451,0.18263,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 20 MG TABLET,36800019471,0.18263,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 20 MG TABLET,37205086163,0.18263,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 75 MG TABLET,00113027139,0.07958,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 75 MG TABLET,00113027172,0.07958,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 75 MG TABLET,51660035230,0.07958,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 75 MG TABLET,51660035260,0.07958,12/18/2013,EA,C/I,Y,1,G,,,
ACID REDUCER 75 MG TABLET,68016045308,0.07958,12/18/2013,EA,C/I,Y,"1, 6",G,,,
ACIPHEX DR 20 MG TABLET,62856024330,11.31020,11/12/2013,EA,C/I,N,2,B,,,
ACIPHEX DR 20 MG TABLET,62856024390,11.31020,11/12/2013,EA,C/I,N,2,B,,,
ACITRETIN 10 MG CAPSULE,00093113556,20.70064,12/18/2013,EA,C/I,N,1,G,,,
ACITRETIN 10 MG CAPSULE,66993089430,20.70064,12/18/2013,EA,C/I,N,"1, 6",G,,,
ACITRETIN 25 MG CAPSULE,00093113656,25.45150,12/18/2013,EA,C/I,N,1,G,,,
ACITRETIN 25 MG CAPSULE,66993089630,25.45150,12/18/2013,EA,C/I,N,"1, 6",G,,,
ACNE TREATMENT 10% CREAM,46122004403,0.05743,04/18/2013,GM,C/I,Y,"4, 5",G,,,
ACTIVELLA 0.5-0.1 MG TABLET,00169517510,4.33974,09/19/2013,EA,C/I,N,4,B,2.62337,12/18/2013,
ACTIVELLA 0.5-0.1 MG TABLET,00169517511,4.33974,09/19/2013,EA,C/I,N,4,B,2.62337,12/18/2013,
ACTIVELLA 1 MG-0.5 MG TABLET,00169517401,4.62146,09/19/2013,EA,C/I,N,4,B,2.77003,12/18/2013,
ACTIVELLA 1 MG-0.5 MG TABLET,00169517402,4.62146,09/19/2013,EA,C/I,N,4,B,2.77003,12/18/2013,
ACTONEL 150 MG TABLET,00149047801,183.10074,12/12/2013,EA,C/I,N,3,B,,,
ACTONEL 150 MG TABLET,00149047803,183.10074,12/12/2013,EA,C/I,N,3,B,,,
ACTONEL 150 MG TABLET,00430047801,183.10074,12/12/2013,EA,C/I,N,3,B,,,
ACTONEL 150 MG TABLET,00430047802,183.10074,12/12/2013,EA,C/I,N,3,B,,,
ACTONEL 35 MG TABLET,00149047201,42.28144,12/12/2013,EA,C/I,N,3,B,,,
ACTONEL 35 MG TABLET,00149047204,42.28144,12/12/2013,EA,C/I,N,3,B,,,
ACTONEL 35 MG TABLET,00430047203,42.28144,12/12/2013,EA,C/I,N,3,B,,,
ACTONEL 35 MG TABLET,00430047207,42.28144,12/12/2013,EA,C/I,N,3,B,,,
ACTONEL 5 MG TABLET,00149047101,6.04966,12/12/2013,EA,C/I,N,3,B,,,
ACTONEL 5 MG TABLET,00430047115,6.04966,12/12/2013,EA,C/I,N,3,B,,,
ACTOPLUS MET 15 MG-500 MG TAB,64764015518,5.77247,09/19/2013,EA,C/I,N,2,B,2.33550,12/18/2013,
ACTOPLUS MET 15 MG-500 MG TAB,64764015560,5.77247,09/19/2013,EA,C/I,N,2,B,2.33550,12/18/2013,
ACTOPLUS MET 15 MG-850 MG TAB,64764015818,5.77781,07/09/2013,EA,C/I,N,2,B,2.45552,12/18/2013,
ACTOPLUS MET 15 MG-850 MG TAB,64764015860,5.77781,07/09/2013,EA,C/I,N,2,B,2.45552,12/18/2013,
"ACTOPLUS MET XR 15-1,000 MG TB",64764051030,6.26830,09/19/2013,EA,C/I,N,2,B,,,
"ACTOPLUS MET XR 30-1,000 MG TB",64764031030,12.40222,07/09/2013,EA,C/I,N,4,B,,,
ACTOS 15 MG TABLET,64764015104,7.43705,11/21/2013,EA,C/I,N,2,B,0.18411,12/18/2013,
ACTOS 15 MG TABLET,64764015105,7.43705,11/21/2013,EA,C/I,N,2,B,0.18411,12/18/2013,
ACTOS 15 MG TABLET,64764015106,7.43705,11/21/2013,EA,C/I,N,2,B,0.18411,12/18/2013,
ACTOS 30 MG TABLET,64764030114,11.44319,11/21/2013,EA,C/I,N,2,B,0.24569,12/18/2013,
ACTOS 30 MG TABLET,64764030115,11.44319,11/21/2013,EA,C/I,N,2,B,0.24569,12/18/2013,
ACTOS 30 MG TABLET,64764030116,11.44319,11/21/2013,EA,C/I,N,2,B,0.24569,12/18/2013,
ACTOS 45 MG TABLET,64764045124,12.69635,09/19/2013,EA,C/I,N,2,B,0.28257,12/18/2013,
ACTOS 45 MG TABLET,64764045125,12.69635,09/19/2013,EA,C/I,N,2,B,0.28257,12/18/2013,
