October 2015 ASP NDC - HCPCS Crosswalk for Medicare Part B Drugs,,,,,,,,,
"     Effective October 1, 2015 through December 31, 2015",,,,,,,,,
,,,,,,,,,
Note 1: This crosswalk is based on published drug and biological pricing data and information submitted to CMS by manufacturers. The information is intended to support ASP-based ,,,,,,,,,
Medicare Part B payments only. ,,,,,,,,,
Note 2: Please submit comments on the crosswalk to e-mail address: sec303aspdata@cms.hhs.gov. ,,,,,,,,,
,,,,,,,,,
_2015_CODE,Short Description,LABELER NAME,NDC2,Drug Name,HCPCS dosage,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-20,Omniscan,1 ML,20,10,20,200
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-22,Omniscan,1 ML,20,10,20,200
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-30,NovaPlus¨ Omniscan,1 ML,10,10,10,100
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-40,NovaPlus¨ Omniscan,1 ML,15,10,15,150
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-42,NovaPlus¨ Omniscan,1 ML,15,10,15,150
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-43,NovaPlus¨ Omniscan,1 ML,20,10,20,200
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-50,NovaPlus¨ Omniscan,1 ML,20,10,20,200
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0690-70,Omniscan,1 ML,100,10,100,1000
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0691-62,Omniscan,1 ML,15,10,15,150
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0691-63,Omniscan,1 ML,20,10,20,200
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0691-64,NovaPlus¨ Omniscan,1 ML,15,10,15,150
A9579,"Gad-base MR contrast NOS,1ml",GE Healthcare,00407-0691-65,NovaPlus¨ Omniscan,1 ML,20,10,20,200
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-01,Magnevist 46.9%,1 ML,10,20,10,200
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-02,Magnevist 46.9%,1 ML,20,20,20,400
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-05,Magnevist 46.9%,1 ML,5,20,5,100
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-11,Magnevist 46.9%,1 ML,100,10,100,1000
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-15,Magnevist 46.9%,1 ML,15,20,15,300
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-36,Magnevist 46.9%,1 ML,10,5,10,50
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-37,Magnevist 46.9%,1 ML,15,5,15,75
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-38,Magnevist 46.9%,1 ML,20,5,20,100
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-40,Magnevist 46.9%,1 ML,5,20,5,100
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-42,Magnevist 46.9%,1 ML,10,20,10,200
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-43,Magnevist 46.9%,1 ML,10,5,10,50
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-44,MAGNEVIST 15ML RFID,1 ML,15,20,15,300
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-45,Magnevist 46.9%,1 ML,15,5,15,75
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-46,MAGNEVIST 20MLRFID,1 ML,20,20,20,400
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-47,Magnevist 46.9%,1 ML,20,5,20,100
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-49,Magnevist 46.9%,1 ML,100,10,100,1000
A9579,"Gad-base MR contrast NOS,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-58,Magnevist 46.9%,1 ML,50,10,50,500
A9581,Gadoxetate disodium inj,Bayer HealthCare Pharmaceuticals Inc.,50419-0320-05,Gadoxetate Disodium,1 ML,10,5,10,50
A9581,Gadoxetate disodium inj,BAYER HEALTHCARE PHARMACEUTICALS IN,50419-0320-15,EOVIST,1 ML,15,5,15,75
A9583,Gadofosveset trisodium inj,Lantheus Medical Imaging,11994-0012-01,ABLAVAR,1 ML,10,10,100,100
A9583,Gadofosveset trisodium inj,Lantheus Medical Imaging,11994-0012-02,ABLAVAR,1 ML,15,10,15,150
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-11,GADAVIST,0.1 ML,7.5,20,75,1500
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-12,GADAVIST,0.1 ML,10,20,100,2000
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-13,GADAVIST,0.1 ML,15,20,150,3000
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-14,GADAVIST,0.1 ML,30,10,300,3000
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-15,GADAVIST,0.1 ML,65,10,650,6500
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-27,GADAVIST,0.1 ML,7.5,5,75,375
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-28,GADAVIST,0.1 ML,10,5,100,500
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-29,GADAVIST,0.1 ML,15,5,150,750
A9585,Gadobutrol injection,BAYER HEALTHCARE PHARMACEUTICALS,50419-0325-37,GADAVIST,0.1 ML,2,15,20,300
J0129,Abatacept injection,Bristol-Myers Squibb Company,00003-2187-10,Abatacept,10 MG,1,1,25,25
J0129,Abatacept injection,BRISTOL-MYERS SQUIBB CO.,00003-2188-11,ORENCIA,10 MG,1,4,12.5,50
J0129,Abatacept injection,Bristol-Myers Squibb Company,00003-2188-31,Abatacept Subcutaneous Solution,10 MG,1,4,12.5,50
J0130,Abciximab injection,Eli Lilly and Company,00002-7140-01,Reopro,10 MG,5,1,1,1
J0132,Acetylcysteine injection,"Paddock Laboratories, Inc",00574-0805-30,Acetylcysteine,100 MG,30,4,60,240
J0132,Acetylcysteine injection,PERRIGO,00574-0815-30,ACETYLCYSTEINE INJECTION,100 MG,30,4,60,240
J0132,Acetylcysteine injection,Akorn,17478-0660-30,ACETYLCYSTEINE INJ,100 MG,30,4,60,240
J0132,Acetylcysteine injection,Fresenius Kabi USA LLC,63323-0963-30,ACETYLCYSTEINE,100 MG,30,4,60,240
J0132,Acetylcysteine injection,Cumberland Pharmaceuticals Inc,66220-0207-30,ACETADOTE,100 MG,30,4,60,240
J0133,Acyclovir injection,Bedford Laboratories,55390-0612-10,Acyclovir Sodium,5 MG,1,10,100,1000
J0133,Acyclovir injection,Bedford Laboratories,55390-0613-20,Acyclovir Sodium,5 MG,1,10,200,2000
J0133,Acyclovir injection,"Fresenius Kabi USA, LLC",63323-0105-10,Acyclovir Sodium,5 MG,10,10,100,1000
J0133,Acyclovir injection,"Fresenius Kabi USA, LLC",63323-0325-10,Acyclovir Sodium,5 MG,20,10,100,1000
J0133,Acyclovir injection,"FRESENIUS KABI USA, LLC",63323-0325-14,Acyclovir Sodium,5 MG,10,10,100,1000
J0133,Acyclovir injection,"Fresenius Kabi USA, LLC",63323-0325-20,Acyclovir Sodium,5 MG,20,10,200,2000
J0133,Acyclovir injection,"FRESENIUS KABI USA, LLC",63323-0325-24,Acyclovir Sodium,5 MG,20,10,200,2000
J0135,Adalimumab injection,"AbbVie US, LLC",00074-3799-02,Humira,20 MG,0.8,2,2,4
J0135,Adalimumab injection,"AbbVie US, LLC",00074-3799-03,Humira,20 MG,0.8,3,2,6
J0135,Adalimumab injection,"AbbVie US, LLC",00074-3799-06,Humira,20 MG,0.8,6,2,12
J0135,Adalimumab injection,"AbbVie US, LLC",00074-4339-02,Humira,20 MG,0.8,2,2,4
J0135,Adalimumab injection,"AbbVie US, LLC",00074-4339-06,Humira,20 MG,0.8,6,2,12
J0135,Adalimumab injection,"AbbVie US, LLC",00074-4339-07,Humira,20 MG,0.8,4,2,8
J0135,Adalimumab injection,ABBVIE,00074-6347-02,Humira,20 MG,0.2,2,0.5,1
J0135,Adalimumab injection,"AbbVie US, LLC",00074-9374-02,Humira,20 MG,0.4,2,1,2
J0153,Adenosine inj 1mg,"HOSPIRA, INC",00409-1932-01,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,"HOSPIRA, INC",00409-1932-02,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,"ASTELLAS PHARMA US, INC.",00469-0871-20,Adenoscan,1 MG,20,10,60,600
J0153,Adenosine inj 1mg,"ASTELLAS PHARMA US, INC.",00469-0871-30,Adenoscan,1 MG,30,10,90,900
J0153,Adenosine inj 1mg,"ASTELLAS PHARMA US, INC.",00469-8234-12,Adenocard,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,"ASTELLAS PHARMA US, INC.",00469-8234-14,Adenocard,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,West-Ward Pharmaceuticals Corp,00641-6113-10,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,"SICOR PHARMACEUTICALS, INC.",00703-8776-01,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,"SICOR PHARMACEUTICALS, INC.",00703-8777-01,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,West-Ward Pharmaceuticals Corp,10019-0063-03,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,Akorn,17478-0542-02,ADENOSINE,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,Akorn,17478-0542-25,Adenosine,1 MG,2,25,6,150
J0153,Adenosine inj 1mg,"AKORN, INC.",17478-0544-20,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,"AKORN, INC.",17478-0544-30,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0301-02,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0301-04,Adenosine,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,SAGENT PHARMACEUTICAL,25021-0301-67,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,"SAGENT PHARMACEUTICALS, INC.",25021-0301-68,Adenosine,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0307-20,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0307-30,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,"Fresenius Kabi USA, LLC",63323-0651-02,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,"Fresenius Kabi USA, LLC",63323-0651-04,Adenosine,1 MG,4,10,12,120
J0171,Adrenalin epinephrine inject,West-Ward Pharmaceuticals Corp,00143-9984-90,EPINEPHRINE,0.1 MG,30,10,300,3000
J0171,Adrenalin epinephrine inject,"HOSPIRA, INC",00409-7241-01,Epinephrine Hcl,0.1 MG,1,25,10,250
J0171,Adrenalin epinephrine inject,"HOSPIRA, INC",00409-7241-25,Epinephrine HCl,0.1 MG,1,25,10,250
J0171,Adrenalin epinephrine inject,"HOSPIRA, INC",00409-7241-61,Epinephrine Hcl,0.1 MG,1,800,10,8000
J0171,Adrenalin epinephrine inject,AMERICAN REGENT,00517-1071-25,Epinephrine Hcl,0.1 MG,1,25,10,250
J0171,Adrenalin epinephrine inject,AMERICAN REGENT,00517-1130-05,Epinephrine Hcl,0.1 MG,30,5,300,1500
J0171,Adrenalin epinephrine inject,JHP Pharmaceuticals LLC,42023-0101-01,Adrenalin,0.1 MG,1,30,10,300
J0171,Adrenalin epinephrine inject,JHP Pharmaceuticals LLC,42023-0101-10,Adrenalin,0.1 MG,30,10,300,3000
J0171,Adrenalin epinephrine inject,JHP Pharmaceuticals LLC,42023-0122-25,Epinephrine Hcl,0.1 MG,1,25,10,250
J0171,Adrenalin epinephrine inject,JHP PHARMACEUTICALS,42023-0159-25,Adrenalin,0.1 MG,1,25,10,250
J0171,Adrenalin epinephrine inject,JHP PHARMACEUTICALS,42023-0168-01,Epinephrine Hcl,0.1 MG,30,1,300,300
J0171,Adrenalin epinephrine inject,A-S Medication Solutions,54569-1673-00,Epinephrine Hcl,0.1 MG,10,1,10,10
J0171,Adrenalin epinephrine inject,A-S Medication Solutions,54569-3075-00,Epinephrine Hcl,0.1 MG,1,25,10,250
J0171,Adrenalin epinephrine inject,A-S Medication Solutions,54569-3075-01,Epinephrine Hcl,0.1 MG,1,1,10,10
J0178,Aflibercept injection (ophthalmic),"Regeneron Pharmaceuticals, Inc.",61755-0005-02,EYLEA,1 MG,0.05,1,2,2
J0180,Agalsidase beta injection,Genzyme Corporation,58468-0040-01,Fabrazyme,1 MG,1,1,35,35
J0180,Agalsidase beta injection,Genzyme Corporation,58468-0041-01,Fabrazyme,1 MG,1,1,5,5
J0207,Amifostine,Sun Pharmaceutical Global Fze.,47335-0581-40,Amifostine for Injection,500 MG,1,1,1,1
J0207,Amifostine,Sun Pharmaceutical Global Fze.,47335-0581-42,Amifostine for Injection,500 MG,1,3,1,3
J0207,Amifostine,Bedford Laboratories,55390-0308-03,Amifostine for Injection,500 MG,1,3,1,3
J0210,Methyldopate hcl injection,AMERICAN REGENT,00517-8905-10,Methyldopate Hcl,250 MG,5,10,1,10
J0220,Alglucosidase alfa injection,Genzyme Corporation,58468-0150-01,Myozyme,10 MG,1,1,5,5
J0221,Lumizyme injection,Genzyme Corporation,58468-0160-01,Lumizyme,10 MG,1,1,5,5
J0221,Lumizyme injection,GENZYME,58468-0160-02,Lumizyme,10 MG,1,10,5,50
J0256,Alpha 1 proteinase inhibitor,CSL Behring,00053-7201-02,Zemaira,10 MG,1,1,0.1,0.1
J0256,Alpha 1 proteinase inhibitor,Baxter Healthcare Corporation,00944-2802-01,Aralast NP,10 MG,1,1,0.1,0.1
J0256,Alpha 1 proteinase inhibitor,Baxter Healthcare Corporation,00944-2802-02,Aralast NP,10 MG,1,1,0.1,0.1
J0256,Alpha 1 proteinase inhibitor,BAXTER HEALTHCARE CORP.,00944-2814-01,Aralast NP,10 MG,1,1,0.1,0.1
J0256,Alpha 1 proteinase inhibitor,BAXTER HEALTHCARE CORP.,00944-2815-01,Aralast NP,10 MG,1,1,0.1,0.1
J0256,Alpha 1 proteinase inhibitor,"Grifols Therapeutics, Inc.",13533-0601-30,Prolastin,10 MG,1,1,0.1,0.1
J0256,Alpha 1 proteinase inhibitor,"Grifols Therapeutics, Inc.",13533-0601-35,Prolastin,10 MG,1,1,100,0.1
J0256,Alpha 1 proteinase inhibitor,"Grifols Therapeutics, Inc.",13533-0700-01,Prolastin-C,10 MG,1,1,100,0.1
J0256,Alpha 1 proteinase inhibitor,"Grifols Therapeutics, Inc.",13533-0700-02,Prolastin-C,10 MG,1,1,100,0.1
J0257,Glassia injection,Baxter Healthcare Corporation,00944-2884-01,GLASSIA             ,10 MG,1,1,0.1,0.1
J0278,Amikacin sulfate injection,"HOSPIRA, INC",00409-1956-01,Amikacin Sulfate,100 MG,2,10,5,50
J0278,Amikacin sulfate injection,"SICOR PHARMACEUTICALS, INC.",00703-9032-03,Amikacin Sulfate,100 MG,2,10,5,50
J0278,Amikacin sulfate injection,"SICOR PHARMACEUTICALS, INC.",00703-9040-03,Amikacin Sulfate,100 MG,4,10,10,100
J0278,Amikacin sulfate injection,HERITAGE PHARMACEUTICALS,23155-0290-41,Amikacin Sulfate,100 MG,2,10,5,50
J0278,Amikacin sulfate injection,HERITAGE PHARMACEUTICALS,23155-0290-42,Amikacin Sulfate,100 MG,4,10,10,100
J0278,Amikacin sulfate injection,Bedford Laboratories,55390-0226-02,Amikacin Sulfate,100 MG,2,10,5,50
J0280,Aminophyllin 250 MG inj,"HOSPIRA, INC",00409-5921-01,Aminophylline,250 MG,10,25,1,25
J0280,Aminophyllin 250 MG inj,"HOSPIRA, INC.",00409-5921-10,NOVAPLUS AMINOPHYLLINE,250 MG,10,25,1,25
J0280,Aminophyllin 250 MG inj,"HOSPIRA, INC",00409-5922-01,Aminophylline,250 MG,20,25,2,50
J0285,Amphotericin B,"X-Gen Pharmaceuticals, Inc.",39822-1055-05,Amphotericin B,50 MG,1,1,1,1
J0285,Amphotericin B,"X-Gen Pharmaceuticals, Inc.",39822-1055-07,Amphotericin B,50 MG,1,1,1,1
J0287,Amphotericin b lipid complex,Sigma-Tau Pharmaceuticals,57665-0101-41,Abelcet,10 MG,20,1,10,10
J0289,Amphotericin b liposome inj,"ASTELLAS PHARMA US, INC.",00469-3051-30,Ambisome,10 MG,1,1,5,5
J0290,Ampicillin 500 MG inj,"Pfizer, Inc.",00069-0026-01,Ampicillin Sodium,500 MG,1,10,20,200
J0290,Ampicillin 500 MG inj,"Pfizer, Inc.",00069-0027-10,Ampicillin Sodium,500 MG,1,10,0.25,2.5
J0290,Ampicillin 500 MG inj,"Pfizer, Inc.",00069-0029-18,Ampicillin Sodium,500 MG,1,10,2,20
