ContractNumber,VendorName,ContractStartDate,ContractStopDate,NDCWithDashes,SubItemIdentifier,PackageDescription,Generic,TradeName,VAClass,Covered,PrimeVendor,Price,PriceStartDate,PriceStopDate,PriceType
V797P-2278D,Dendreon Corporation,11/01/2012,10/31/2017,30237-8900-06,,250ML,SIPULEUCEL-T 250ML INFUSION,PROVENGE INFUSION,IM700,T,T,34115.17,01/01/2015,10/31/2017,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0405-00,,100,"LENALIDOMIDE 5MG CAP,ORAL",REVLIMID 5MG CAP,IM900,T,F,34105.22,01/01/2015,10/14/2016,FSS
V797P-5025B,Spectrum Pharmaceuticals,03/01/2009,10/31/2015,68152-0103-03,,1,"IBRITUMOMAB TIUXETAN Y-90 INJ,SINGLE USE","YTTRIUM-90 ZEVALIN INJ, 3.2MG/2ML SDV",AN600,T,F,32853.03,01/01/2015,10/31/2015,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0420-00,,100,LENALIDOMIDE 20MG CAP,REVLIMID 20MG CAP,IM900,T,F,32642.52,03/15/2015,10/14/2016,Big4
V797P-5198B,Merck Sharp & Dohme Corporation,11/01/2010,10/31/2015,66582-0312-87,,10000,EZETIMIBE 10MG/SIMVASTATIN 20MG,VYTORIN 10/20MG TAB,CV350,T,T,31942.49,01/01/2015,10/31/2015,Big4
V797P-5198B,Merck Sharp & Dohme Corporation,11/01/2010,10/31/2015,66582-0312-87,,10000,EZETIMIBE 10MG/SIMVASTATIN 20MG,VYTORIN 10/20MG TAB,CV350,T,T,31942.49,01/01/2015,10/31/2015,FSS
V797P-5135B,"Valeant Pharmaceuticals North America, LLC.",11/15/2009,11/14/2015,64455-0796-50,,5000,DILTIAZEM (CARDIZEM CD) 180MG SA CAP,CARDIZEM CD 180MG CAP,CV200,T,T,31753.99,01/01/2015,11/14/2015,FSS
V797D-50363,"NPS Pharmaceuticals, Inc.",04/01/2015,03/31/2020,68875-0102-01,,30,"TEDUGLUTIDE 5MG/VIAL INJ,KIT","GATTEX 5MG INJ, 30 VIAL KIT",GA900,T,T,31507.54,04/01/2015,03/31/2020,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0205-94,,280,THALIDOMIDE 50MG CAP,THALOMID 50MG CAP 10X28,IM900,T,T,30419.26,01/01/2015,10/14/2016,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0210-95,,140,THALIDOMIDE 100MG CAP,THALOMID 100MG CAP 5X28,IM900,T,T,30274.46,01/01/2015,10/14/2016,FSS
V797P-5261B,"Questcor Pharmaceuticals, Inc.",07/15/2011,07/14/2016,63004-8710-01,,5ML,"CORTICOTROPIN 80UNT/ML INJ,GEL",H.P. ACTHAR GEL 80UNT/ML INJ MDV,HS701,T,T,30207.07,01/01/2015,07/14/2016,FSS
V797P-5025B,Spectrum Pharmaceuticals,03/01/2009,10/31/2015,68152-0103-03,,1,"IBRITUMOMAB TIUXETAN Y-90 INJ,SINGLE USE","YTTRIUM-90 ZEVALIN INJ, 3.2MG/2ML SDV",AN600,T,F,30191.57,01/01/2015,10/31/2015,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0425-00,,100,LENALIDOMIDE 25MG CAP,REVLIMID 25MG CAP,IM900,T,F,30031.07,01/01/2015,10/14/2016,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0415-00,,100,LENALIDOMIDE 15MG CAP,REVLIMID 15MG CAP,IM900,T,F,29720.76,01/01/2015,10/14/2016,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0410-00,,100,"LENALIDOMIDE 10MG CAP,ORAL",REVLIMID 10MG CAP,IM900,T,F,29544.43,01/01/2015,10/14/2016,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0402-00,,100,"LENALIDOMIDE 2.5MG CAP,ORAL",REVLIMID 2.5MG CAP,IM900,T,F,28853.19,01/01/2015,10/14/2016,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0405-00,,100,"LENALIDOMIDE 5MG CAP,ORAL",REVLIMID 5MG CAP,IM900,T,F,28821.69,01/01/2015,10/14/2016,Big4
V797P-5175B,"Gilead Sciences, Inc.",08/01/2010,12/31/2015,61958-1801-01,,28,LEDIPASVIR 90MG/SOFOSBUVIR 400MG TAB,HARVONI 90MG/400MG TAB,AM800,T,T,28492.46,04/15/2015,12/31/2015,FSS
V797D-40269,"Pfizer, Inc.",11/01/2014,10/31/2019,00071-0155-34,,5000,ATORVASTATIN CA 10MG TAB,LIPITOR 10MG TABLETS,CV350,T,T,27355.92,01/01/2015,10/31/2019,FSS
V797P-5135B,"Valeant Pharmaceuticals North America, LLC.",11/15/2009,11/14/2015,00187-4330-01,,25XML,ISOPROTERENOL HCL 0.2MG/ML INJ,ISUPREL HCL 0.2MG/ML INJ,AU100,T,T,26525.99,09/29/2015,11/14/2015,FSS
V797P-5135B,"Valeant Pharmaceuticals North America, LLC.",11/15/2009,11/14/2015,42998-0402-01,,25XML,ISOPROTERENOL HCL 0.2MG/ML INJ,ISUPREL HCL 0.2MG/ML INJ,AU100,T,T,26525.99,03/15/2015,11/14/2015,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0215-93,,112,THALIDOMIDE 150MG CAP,THALOMID 150MG CAP BLISTER CARD,IM900,T,T,26164.81,01/01/2015,10/14/2016,FSS
V797P-2251D,"Arbor Pharmaceuticals, Inc.",09/01/2012,08/31/2017,24338-0050-08,,8,CARMUSTINE 7.7MG IMPLANT WAFER,GLIADEL 7.7MG IMPLANT WAFER,AN100,T,T,25970.56,07/01/2015,08/31/2017,FSS
V797P-5282B,Bristol Myers Squibb US Medicines,10/01/2011,09/30/2016,00003-2328-22,,40ML,"IPILIMUMAB 5MG/ML,SDV",YERVOY 200MG/40ML SDV,IM900,T,T,25487.24,01/01/2015,09/30/2016,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0210-95,,140,THALIDOMIDE 100MG CAP,THALOMID 100MG CAP 5X28,IM900,T,T,25197.19,01/01/2015,10/14/2016,Big4
V797P-2302D,"Vertex Pharmaceuticals, Inc.",10/15/2012,10/14/2017,51167-0200-02,,60,IVACAFTOR 150MG TAB,KALYDECO 150MG TAB,RE900,T,T,25166.58,01/01/2015,10/14/2017,FSS
V797P-5135B,"Valeant Pharmaceuticals North America, LLC.",11/15/2009,11/14/2015,00187-0007-14,,4X6GM,RIBAVIRIN 6GM/VIL INHL,VIRAZOLE POWDER,AM800,T,T,24836.73,08/15/2015,11/14/2015,FSS
V797P-2222D,"Bracco Diagnostics, Inc.",09/01/2012,08/31/2017,00270-0091-01,,1,RUBIDIUM (RB-82) GENERATOR,CARDIOGEN  RUBIDIUM-82 GENERATOR,DX201,T,F,24712.02,01/01/2015,08/31/2017,FSS
V797P-2086D,Genzyme Corp.,02/01/2012,01/31/2017,58468-0220-01,,56,"ELIGLUSTAT 84MG CAP,ORAL,UD","CERDELGA 84MG CAP,UD",BL900,T,T,23895.68,02/09/2015,01/31/2017,FSS
V797P-2278D,Dendreon Corporation,11/01/2012,10/31/2017,30237-8900-06,,250ML,SIPULEUCEL-T 250ML INFUSION,PROVENGE INFUSION,IM700,T,T,23719.93,01/01/2015,10/31/2017,Big4
V797P-2286D,"BTG International, Inc",10/01/2012,09/30/2017,50633-0210-11,,1,GLUCARPIDASE 1000UNT/VIL INJ,VORAXAZE 1000UNT/VIL INJ,AD900,T,T,23655.11,01/01/2015,09/30/2017,FSS
V797P-2302D,"Vertex Pharmaceuticals, Inc.",10/15/2012,10/14/2017,51167-0200-01,,56,IVACAFTOR 150MG TAB,KALYDECO 150MG TAB,RE900,T,T,23488.81,04/01/2015,10/14/2017,FSS
V797P-5175B,"Gilead Sciences, Inc.",08/01/2010,12/31/2015,61958-1801-01,,28,LEDIPASVIR 90MG/SOFOSBUVIR 400MG TAB,HARVONI 90MG/400MG TAB,AM800,T,T,23430.07,04/15/2015,12/31/2015,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0215-93,,112,THALIDOMIDE 150MG CAP,THALOMID 150MG CAP BLISTER CARD,IM900,T,T,22563.72,01/01/2015,10/14/2016,Big4
V797P-5893X,Merck Sharp & Dohme Corporation,04/15/2006,12/31/2015,00006-9117-80,,8000,MONTELUKAST NA 10MG TAB,SINGULAIR 10MG TAB,RE109,T,T,22525.18,01/01/2015,12/31/2015,Big4
V797P-5893X,Merck Sharp & Dohme Corporation,04/15/2006,12/31/2015,00006-9117-80,,8000,MONTELUKAST NA 10MG TAB,SINGULAIR 10MG TAB,RE109,T,T,22525.18,01/01/2015,12/31/2015,FSS
V797P-5261B,"Questcor Pharmaceuticals, Inc.",07/15/2011,07/14/2016,63004-8710-01,,5ML,"CORTICOTROPIN 80UNT/ML INJ,GEL",H.P. ACTHAR GEL 80UNT/ML INJ MDV,HS701,T,T,22446.14,01/01/2015,07/14/2016,Big4
V797D-50439,"Janssen Products, LP",08/01/2015,07/31/2020,59676-0225-28,,28,SIMEPREVIR 150MG CAP,OLYSIO 150MG CAP,AM800,T,T,21786.53,08/01/2015,07/31/2020,FSS
V797P-2251D,"Arbor Pharmaceuticals, Inc.",09/01/2012,08/31/2017,24338-0050-08,,8,CARMUSTINE 7.7MG IMPLANT WAFER,GLIADEL 7.7MG IMPLANT WAFER,AN100,T,T,21733.57,07/01/2015,08/31/2017,Big4
V797P-5135B,"Valeant Pharmaceuticals North America, LLC.",11/15/2009,11/14/2015,00187-5526-75,,100,BEXAROTENE 75MG CAP,TARGRETIN 75MG CAP,AN900,T,T,21444.59,08/15/2015,11/14/2015,FSS
V797P-2306D,"Shire US, Inc.",09/30/2012,09/29/2017,54092-0702-03,,3,ICATIBANT 30MG/3M INJECTION,FIRAZYR 30MG/3M INJECTION,IM900,T,F,20760.11,04/15/2015,09/29/2017,FSS
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0220-96,,84,THALIDOMIDE 200MG CAP,THALOMID 200MG CAP 3X28,IM900,T,T,20681.2,01/01/2015,10/14/2016,FSS
V797P-5057B,Abbvie US LLC,03/01/2009,01/31/2016,00074-3093-28,,28X4,OMBITASVIR/PARITAPREVIR/RITONAVIR 12.5/75/50MG AND DISABUVIR 250,VIEKIRA PAK (56 OMBITASVIR/PARITAPREVIR/RITON,AM800,T,T,20635.78,09/01/2015,01/31/2016,FSS
V797D-30193,"Vidara Therapeutics, Inc.",06/15/2013,06/14/2018,42238-0111-12,,1,"INTERFERON GAMMA 1-B, 100MCG INJECTION",ACTIMMUNE 100MCG INJECTION,IM700,T,T,20341.89,01/01/2015,06/14/2018,FSS
V797P-2302D,"Vertex Pharmaceuticals, Inc.",10/15/2012,10/14/2017,51167-0809-01,,112,IVACAFTOR 125MG/LUMACAFTOR 200MG TAB,ORKAMBI,RE900,T,T,19803.15,09/22/2015,10/14/2017,FSS
V797P-2086D,Genzyme Corp.,02/01/2012,01/31/2017,58468-0200-01,,1,"ALEMTUZUMAB 12MG/1.2ML INJ,VIL",LEMTRADA 12MG/1.2ML INJ,AN900,T,T,19796.25,09/15/2015,01/31/2017,FSS
V797D-50416,"Regeneron Pharmaceuticals, Inc.",07/15/2015,07/14/2020,61755-0001-01,,1X4,RILONACEPT 220MG/VIL INJ,ARCALYST 220MG VIL,IM600,T,F,19698.49,07/15/2015,07/14/2020,FSS
V797D-40269,"Pfizer, Inc.",11/01/2014,10/31/2019,00071-0157-88,,2500,ATORVASTATIN CA 40MG TAB,LIPITOR 40MG TAB,CV350,T,T,19510.26,01/01/2015,10/31/2019,FSS
V797D-40269,"Pfizer, Inc.",11/01/2014,10/31/2019,00071-0158-88,,2500,ATORVASTATIN CA 80MG TAB,LIPITOR 80MG TAB,CV350,T,T,19510.26,01/01/2015,10/31/2019,FSS
V797P-2302D,"Vertex Pharmaceuticals, Inc.",10/15/2012,10/14/2017,51167-0200-02,,60,IVACAFTOR 150MG TAB,KALYDECO 150MG TAB,RE900,T,T,19165.59,01/01/2015,10/14/2017,Big4
V797D-5001E,"Retrophin, Inc",10/01/2014,10/31/2015,45043-0001-02,,90,CHOLIC ACID 50MG CAP,CHOLBAM 50MG CAP,GU900,T,F,18961.81,09/15/2015,10/31/2015,FSS
V797D-40269,"Pfizer, Inc.",11/01/2014,10/31/2019,00071-0155-34,,5000,ATORVASTATIN CA 10MG TAB,LIPITOR 10MG TABLETS,CV350,T,T,18715.56,01/01/2015,10/31/2019,Big4
V797P-5282B,Bristol Myers Squibb US Medicines,10/01/2011,09/30/2016,00003-2328-22,,40ML,"IPILIMUMAB 5MG/ML,SDV",YERVOY 200MG/40ML SDV,IM900,T,T,18627.47,01/01/2015,09/30/2016,Big4
V797D-3013E,"Aegerion Pharmaceuticals, Inc.",09/01/2013,01/31/2016,76431-0120-01,,28,LOMITAPIDE 20MG CAP,JUXTAPID 20MG CAP,CV350,T,F,18393.98,01/01/2015,01/31/2016,FSS
V797P-2086D,Genzyme Corp.,02/01/2012,01/31/2017,58468-0220-01,,56,"ELIGLUSTAT 84MG CAP,ORAL,UD","CERDELGA 84MG CAP,UD",BL900,T,T,18178.89,02/09/2015,01/31/2017,Big4
V797P-2302D,"Vertex Pharmaceuticals, Inc.",10/15/2012,10/14/2017,51167-0400-01,,56,IVACAFTOR 75MG/PKT GRANULES,KALYDECO 75MG GRANULES,RE900,T,T,18069.8,05/05/2015,10/14/2017,FSS
V797P-2302D,"Vertex Pharmaceuticals, Inc.",10/15/2012,10/14/2017,51167-0300-01,,56,IVACAFTOR 50MG/PKT GRANULES,KALYDECO 50MG GRANULES,RE900,T,T,18069.8,05/05/2015,10/14/2017,FSS
V797P-2302D,"Vertex Pharmaceuticals, Inc.",10/15/2012,10/14/2017,51167-0200-01,,56,IVACAFTOR 150MG TAB,KALYDECO 150MG TAB,RE900,T,T,17887.88,04/01/2015,10/14/2017,Big4
V797P-2009D,Celgene Corporation,10/15/2011,10/14/2016,59572-0220-96,,84,THALIDOMIDE 200MG CAP,THALOMID 200MG CAP 3X28,IM900,T,T,17329.7,01/01/2015,10/14/2016,Big4
V797P-2286D,"BTG International, Inc",10/01/2012,09/30/2017,50633-0210-11,,1,GLUCARPIDASE 1000UNT/VIL INJ,VORAXAZE 1000UNT/VIL INJ,AD900,T,T,17295.87,01/01/2015,09/30/2017,Big4
V797D-40269,"Pfizer, Inc.",11/01/2014,10/31/2019,00071-0156-94,,5000,ATORVASTATIN CA 20MG TAB,LIPITOR 20MG TAB,CV350,T,T,17104.17,01/01/2015,10/31/2019,Big4
V797D-3013E,"Aegerion Pharmaceuticals, Inc.",09/01/2013,01/31/2016,76431-0105-01,,28,LOMITAPIDE 5MG CAP,JUXTAPID 5MG CAP,CV350,T,F,16714.27,01/01/2015,01/31/2016,FSS
V797P-5175B,"Gilead Sciences, Inc.",08/01/2010,12/31/2015,61958-1501-01,,28,SOFOSBUVIR 400MG TAB,SOVALDI 400MG TAB,AM800,T,T,16620,07/01/2015,12/31/2015,Big4
V797P-5175B,"Gilead Sciences, Inc.",08/01/2010,12/31/2015,61958-1501-01,,28,SOFOSBUVIR 400MG TAB,SOVALDI 400MG TAB,AM800,T,T,16620,07/01/2015,12/31/2015,FSS
V797D-50439,"Janssen Products, LP",08/01/2015,07/31/2020,59676-0225-28,,28,SIMEPREVIR 150MG CAP,OLYSIO 150MG CAP,AM800,T,T,16442.54,08/01/2015,07/31/2020,Big4
V797D-3013E,"Aegerion Pharmaceuticals, Inc.",09/01/2013,01/31/2016,76431-0110-01,,28,LOMITAPIDE 10MG CAP,JUXTAPID 10MG CAP,CV350,T,F,16408.88,01/01/2015,01/31/2016,FSS
V797D-50363,"NPS Pharmaceuticals, Inc.",04/01/2015,03/31/2020,68875-0102-01,,30,"TEDUGLUTIDE 5MG/VIAL INJ,KIT","GATTEX 5MG INJ, 30 VIAL KIT",GA900,T,T,16077.18,04/01/2015,03/31/2020,Big4
V797P-5198B,Merck Sharp & Dohme Corporation,11/01/2010,10/31/2015,66582-0313-86,,5000,EZETIMIBE 10MG/SIMVASTATIN 40MG TAB,VYTORIN 10/40MG TAB,CV350,T,T,15971.25,01/01/2015,10/31/2015,Big4
V797P-5198B,Merck Sharp & Dohme Corporation,11/01/2010,10/31/2015,66582-0313-86,,5000,EZETIMIBE 10MG/SIMVASTATIN 40MG TAB,VYTORIN 10/40MG TAB,CV350,T,T,15971.25,01/01/2015,10/31/2015,FSS
V797P-2306D,"Shire US, Inc.",09/30/2012,09/29/2017,54092-0702-03,,3,ICATIBANT 30MG/3M INJECTION,FIRAZYR 30MG/3M INJECTION,IM900,T,F,15929.79,01/01/2015,09/29/2017,Big4
V797D-30268,Novartis Pharmaceuticals Corporation,10/01/2013,09/30/2018,00078-0582-61,,1,CANAKINUMAB 180MG/VIL INJ,"ILARIS 180MG PF LYPHL VIL,6ML",IM600,T,T,15779.16,01/01/2015,09/30/2018,FSS
V797P-5198B,Merck Sharp & Dohme Corporation,11/01/2010,10/31/2015,66582-0414-76,,5000,EZETIMIBE 10MG TAB,ZETIA 10MG TAB,CV350,T,T,15740.62,01/01/2015,10/31/2015,Big4
V797P-5198B,Merck Sharp & Dohme Corporation,11/01/2010,10/31/2015,66582-0414-76,,5000,EZETIMIBE 10MG TAB,ZETIA 10MG TAB,CV350,T,T,15740.62,01/01/2015,10/31/2015,FSS
V797P-5282B,Bristol Myers Squibb US Medicines,10/01/2011,09/30/2016,00003-0213-01,,28,DACLATASVIR 30MG TAB,DAKLINZA 30MG TAB,AM800,T,T,15719.4,08/15/2015,09/30/2016,FSS
V797P-5282B,Bristol Myers Squibb US Medicines,10/01/2011,09/30/2016,00003-0215-01,,28,DACLATASVIR 60MG TAB,DAKLINZA 60MG TAB,AM800,T,T,15719.4,08/15/2015,09/30/2016,FSS
V797P-2302D,"Vertex Pharmaceuticals, Inc.",10/15/2012,10/14/2017,51167-0809-01,,112,IVACAFTOR 125MG/LUMACAFTOR 200MG TAB,ORKAMBI,RE900,T,T,15065.3,09/22/2015,10/14/2017,Big4
V797P-2086D,Genzyme Corp.,02/01/2012,01/31/2017,58468-0200-01,,1,"ALEMTUZUMAB 12MG/1.2ML INJ,VIL",LEMTRADA 12MG/1.2ML INJ,AN900,T,T,15025.01,09/15/2015,01/31/2017,Big4
V797D-50416,"Regeneron Pharmaceuticals, Inc.",07/15/2015,07/14/2020,61755-0001-01,,1X4,RILONACEPT 220MG/VIL INJ,ARCALYST 220MG VIL,IM600,T,F,14970.85,07/15/2015,07/14/2020,Big4
V797P-5893X,Merck Sharp & Dohme Corporation,04/15/2006,12/31/2015,00006-0951-87,,10000,LOSARTAN 25MG TAB,COZAAR 25MG TAB BULK,CV805,T,T,14368.57,01/01/2015,12/31/2015,FSS
V797P-2237D,Eli Lilly & Company,09/01/2012,08/31/2017,00777-3105-07,,2000,FLUOXETINE HCL 20MG CAP,PROZAC 20MG PULVULE,CN609,T,T,14365.23,01/01/2015,08/31/2017,FSS
V797D-40247,"Aptalis Pharma US, Inc.",10/01/2014,09/30/2019,58914-0501-18,,1080,"MESALAMINE 1000MG SUPP,RTL",CANASA 1000MG SUPP,RS100,T,T,14175.22,01/01/2015,09/30/2019,FSS
V797P-2047d,"Bausch & Lomb Pharmaceuticals, Inc.",12/01/2011,11/30/2016,24208-0416-01,,1,"FLUOCINOLONE ACETONIDE 0.59MG IMPLANT,INTRAVITREAL",RETISERT 0.59MG INTRAVITREAL IMPLANT,OP900,T,T,14100.6,01/01/2015,11/30/2016,FSS
V797D-30071,"Horizon Pharma USA, Inc.",01/01/2013,12/31/2017,76325-0100-04,,4X25ML,"GLYCEROL PHENYLBUTYRATE 1.1GM/ML LIQUID,ORAL,25ML",RAVICTI 1.1MG/ML,GA900,T,T,13847.4,09/28/2015,12/31/2017,FSS
V797P-5135B,"Valeant Pharmaceuticals North America, LLC.",11/15/2009,11/14/2015,00187-0143-10,,1000,ENALAPRIL MALEATE 20MG TAB,VASOTEC 20MG TAB,CV800,T,T,13401.34,08/15/2015,11/14/2015,FSS
V797P-2086D,Genzyme Corp.,02/01/2012,01/31/2017,58468-0191-02,,4X1ML,"MIPOMERSEN NA 200MG/ML INJ,SYRINGE,1ML",KYNAMRO 200MG/ML INJ,CV350,T,T,13332.62,01/01/2015,01/31/2017,Big4
V797P-2086D,Genzyme Corp.,02/01/2012,01/31/2017,58468-0191-02,,4X1ML,"MIPOMERSEN NA 200MG/ML INJ,SYRINGE,1ML",KYNAMRO 200MG/ML INJ,CV350,T,T,13332.62,01/01/2015,01/31/2017,FSS
V797D-30193,"Vidara Therapeutics, Inc.",06/15/2013,06/14/2018,42238-0111-12,,1,"INTERFERON GAMMA 1-B, 100MCG INJECTION",ACTIMMUNE 100MCG INJECTION,IM700,T,T,13279.95,01/01/2015,06/14/2018,Big4
V797P-5135B,"Valeant Pharmaceuticals North America, LLC.",11/15/2009,11/14/2015,00187-4330-05,,10X5ML,ISOPROTERENOL HCL 0.2MG/ML INJ,ISUPREL HCL 0.2MG/ML INJ,AU100,T,T,12899.66,09/29/2015,11/14/2015,FSS
V797P-5135B,"Valeant Pharmaceuticals North America, LLC.",11/15/2009,11/14/2015,42998-0402-05,,10X5ML,ISOPROTERENOL HCL 0.2MG/ML INJ,ISUPREL HCL 0.2MG/ML INJ,AU100,T,T,12899.66,05/07/2015,11/14/2015,FSS
V797P-5057B,Abbvie US LLC,03/01/2009,01/31/2016,00074-3082-28,,28X2,"OMBITASVIR 12.5/PARITAPREVIR 75/RITONAVIR 50MG TAB DOSE PACK,56","TECHNIVIE (56,12.5MG/75MG/50MG TAB",AM800,T,T,12839.7,10/02/2015,01/31/2016,FSS
V797D-40269,"Pfizer, Inc.",11/01/2014,10/31/2019,00071-0157-88,,2500,ATORVASTATIN CA 40MG TAB,LIPITOR 40MG TAB,CV350,T,T,12480.26,01/01/2015,10/31/2019,Big4
V797D-40269,"Pfizer, Inc.",11/01/2014,10/31/2019,00069-8140-20,,60,CRIZ0TINIB 250MG CAP,XALKORI 250MG CAP,AN900,T,T,11925.22,01/01/2015,10/31/2019,FSS
V797D-40269,"Pfizer, Inc.",11/01/2014,10/31/2019,00069-8141-20,,60,CRIZ0TINIB 200MG CAP,XALKORI 200MG CAP,AN900,T,T,11925.22,01/01/2015,10/31/2019,FSS
V797P-5131B,"Jazz Pharmaceuticals, Inc.",11/01/2009,10/31/2015,57902-0249-05,,"3X10,000U","ASPARGINASE ERWINA CHRYSANTHEMI,10,000U,INJ","ERWINAZE 10,000U INJ",AN900,T,T,11901.81,01/01/2015,10/31/2015,FSS
V797P-5160B,"Actelion Pharmaceuticals, U.S. Inc.",05/15/2010,11/14/2015,66215-0201-90,,90,MIGLUSTAT 100MG CAP,ZAVESCA 100MG CAP,HS900,T,F,11848.84,01/01/2015,11/14/2015,Big4
V797P-5160B,"Actelion Pharmaceuticals, U.S. Inc.",05/15/2010,11/14/2015,66215-0201-90,,90,MIGLUSTAT 100MG CAP,ZAVESCA 100MG CAP,HS900,T,F,11848.84,01/01/2015,11/14/2015,FSS
V797D-30268,Novartis Pharmaceuticals Corporation,10/01/2013,09/30/2018,00078-0582-61,,1,CANAKINUMAB 180MG/VIL INJ,"ILARIS 180MG PF LYPHL VIL,6ML",IM600,T,T,11803.73,01/01/2015,09/30/2018,Big4
V797D-3031E,Raptor Pharmaceutical Corp,04/15/2014,10/31/2015,49663-0002-25,,250,CYSTAMINE BITARTRATE DR 75MG CAP,PROCYSBI DR 75MG CAP,DX000,T,F,11765.3,01/01/2015,10/31/2015,FSS
